,category,strain
0,hybrid,100 og
1,hybrid,98 white widow
2,sativa,1024
3,hybrid,12 year og
4,hybrid,13 dawgs
5,hybrid,22
6,hybrid,24k gold
7,indica,3 bears og
8,hybrid,100 og
9,hybrid,98 white widow
10,sativa,1024
11,hybrid,12 year og
12,hybrid,13 dawgs
13,hybrid,22
14,hybrid,24k gold
15,indica,3 bears og
16,hybrid,3 kings
17,indica,303 og
18,sativa,3d cbd
19,indica,3x crazy
20,hybrid,3rd coast panama chunk
21,hybrid,501st og
22,hybrid,541 kush
23,indica,5th element
24,hybrid,707 headband
25,hybrid,707 truthband
26,indica,8 ball kush
27,indica,818 og
28,indica,831 og
29,hybrid,840
30,indica,9 pound hammer
31,indica,91 krypt
32,hybrid,92 og
33,indica,999
34,indica,a 10
35,hybrid,a dub
36,hybrid,a train
37,hybrid,acdc
38,hybrid,ak 47
39,hybrid,ak 48
40,sativa,ak 49
41,hybrid,aberdeen
42,indica,abusive og
43,sativa,acapulco gold
44,indica,ace killer og
45,indica,ace of spades
46,sativa,aceh
47,hybrid,acid
48,sativa,acid dough
49,hybrid,afcrack
50,indica,afghan big bud
51,sativa,afghan cow
52,hybrid,afghan diesel
53,indica,afghan hawaiian
54,hybrid,afghan haze
55,indica,afghan kush
56,indica,afghan skunk
57,indica,afghan sour kush
58,hybrid,afghan widow
59,indica,afghani
60,indica,afgahni bullrider
61,indica,afghani cbd
62,hybrid,afghani krush
63,hybrid,afghanica
64,indica,afghan skunk
65,indica,afghan sour kush
66,hybrid,afghan widow
67,indica,afghani
68,indica,afgahni bullrider
69,indica,afghani cbd
70,hybrid,afghani krush
71,hybrid,afghanica
72,indica,afghanimal
73,indica,afghooey
74,indica,afgoo
75,indica,afgooey
76,indica,afkansastan
77,hybrid,afpak
78,sativa,african
79,sativa,afrikaner
80,hybrid,afrodite
81,hybrid,afternoon delight
82,hybrid,afwreck
83,sativa,agape
84,hybrid,agent orange
85,hybrid,agent tangie
86,hybrid,agharta
87,indica,air jordan og
88,hybrid,als dream
89,sativa,alaska
90,hybrid,alaska thunder grape
91,sativa,alaskan ice
92,sativa,alaskan thunder fuck
93,hybrid,albert walker
94,hybrid,alchemy
95,hybrid,alf
96,sativa,alice in wonderland
97,hybrid,alien abduction
98,hybrid,alien apparition
99,hybrid,alien asshat
100,hybrid,alien breath
101,indica,alien bubba
102,indica,alien dawg
103,sativa,alien dutchess
104,hybrid,alien hallucination
105,hybrid,alien inferno
106,indica,alien kush
107,hybrid,alien og
108,hybrid,alien reunion
109,indica,alien rift
110,hybrid,alien rock candy
111,hybrid,alien sour apple
112,sativa,alien stardawg
113,indica,alien technology
114,hybrid,alien walker
115,indica,aliens on moonshine
116,hybrid,alion
117,indica,allen iverson og
118,sativa,allen wrench
119,hybrid,alley cat kush
120,sativa,alien stardawg
121,indica,alien technology
122,hybrid,alien walker
123,indica,aliens on moonshine
124,hybrid,alion
125,indica,allen iverson og
126,sativa,allen wrench
127,hybrid,alley cat kush
128,indica,allkush
129,sativa,aloha
130,hybrid,aloha grape stomper
131,hybrid,aloha limone
132,hybrid,alohaberry
133,sativa,alpha blue
134,sativa,alpha cow
135,sativa,alpha express
136,hybrid,alpha og
137,hybrid,alpine blue
138,indica,alpine star
139,hybrid,altoyd
140,hybrid,ambrosia
141,hybrid,ambrosia 8a5e98966f6047318a0ff1c3c3ad5075
142,indica,american beauty
143,hybrid,american dream
144,indica,american kush
145,hybrid,american pie
146,indica,americano
147,hybrid,amethyst
148,hybrid,amethyst bud
149,hybrid,amherst sour diesel
150,sativa,amnesi k lemon
151,sativa,amnesia
152,sativa,amnesia ganja haze
153,sativa,amnesia haze
154,sativa,amnesia og
155,indica,ancient kush
156,indica,ancient og
157,indica,anesthesia
