,strain,effect_1,effect_2,effect_3,effect_4,effect_5
0,100 og, happy, uplifted, relaxed, euphoric, sleepy 
1,98 white widow, creative, relaxed, energetic, sleepy, giggly 
2,1024, uplifted, energetic, happy, relaxed, focused 
3,12 year og, focused, creative, hungry, euphoric, aroused 
4,13 dawgs, sleepy, euphoric, focused, energetic, relaxed 
5,22, energetic, focused, happy, uplifted, creative 
6,24k gold, happy, relaxed, euphoric, uplifted, creative 
7,3 bears og, relaxed, giggly, sleepy, tingly, energetic 
8,100 og, happy, uplifted, relaxed, euphoric, sleepy 
9,98 white widow, creative, relaxed, energetic, sleepy, giggly 
10,1024, uplifted, energetic, happy, relaxed, focused 
11,12 year og, focused, creative, hungry, euphoric, aroused 
12,13 dawgs, sleepy, euphoric, focused, energetic, relaxed 
13,22, energetic, focused, happy, uplifted, creative 
14,24k gold, happy, relaxed, euphoric, uplifted, creative 
15,3 bears og, relaxed, giggly, sleepy, tingly, energetic 
16,3 kings, happy, relaxed, uplifted, euphoric, energetic 
17,303 og, focused, relaxed, uplifted, euphoric, sleepy 
18,3d cbd, relaxed, happy, uplifted, focused, talkative 
19,3x crazy, relaxed, happy, sleepy, uplifted, euphoric 
20,3rd coast panama chunk, energetic, focused, happy, uplifted, talkative 
21,501st og, happy, relaxed, energetic, euphoric, uplifted 
22,541 kush, energetic, focused ,,,
23,5th element, energetic, relaxed, euphoric, happy, hungry 
24,707 headband, relaxed, euphoric, happy, creative, uplifted 
25,707 truthband, happy, energetic, focused, relaxed, uplifted 
26,8 ball kush, relaxed, happy, uplifted, euphoric, hungry 
27,818 og, happy, relaxed, tingly, euphoric, sleepy 
28,831 og, relaxed, creative, hungry, euphoric, focused 
29,9 pound hammer, relaxed, sleepy, euphoric, happy, hungry 
30,91 krypt, relaxed, happy, euphoric, giggly, sleepy 
31,999, relaxed, creative, euphoric, happy, uplifted 
32,a 10, happy, hungry, euphoric, sleepy, creative 
33,a dub, euphoric, aroused, happy, creative, talkative 
34,a train, happy, relaxed, creative, aroused, euphoric 
35,acdc, relaxed, happy, focused, uplifted, sleepy 
36,ak 47, happy, relaxed, euphoric, uplifted, creative 
37,ak 48, happy, relaxed, uplifted, giggly, euphoric 
38,ak 49, giggly, aroused, tingly, euphoric, sleepy 
39,aberdeen, uplifted, giggly, happy, energetic, sleepy 
40,abusive og, relaxed, happy, sleepy, euphoric, uplifted 
41,acapulco gold, happy, uplifted, creative, euphoric, energetic 
42,ace killer og, relaxed, euphoric, sleepy, hungry, happy 
43,ace of spades, relaxed, euphoric, happy, sleepy, uplifted 
44,aceh, creative, relaxed, focused, euphoric, energetic 
45,acid, creative, happy, energetic, relaxed, focused 
46,acid dough, happy, talkative, creative, uplifted, energetic 
47,afcrack, relaxed, creative, uplifted, focused, energetic 
48,afghan big bud, happy, focused, euphoric, uplifted, creative 
49,afghan cow, focused, happy, euphoric, creative, energetic 
50,afghan diesel, euphoric, happy, uplifted, relaxed, creative 
51,afghan hawaiian, relaxed, euphoric, uplifted, sleepy, energetic 
52,afghan haze, creative, giggly, hungry, happy, relaxed 
53,afghan kush, relaxed, happy, sleepy, euphoric, uplifted 
54,afghan skunk, euphoric, uplifted, hungry, relaxed, sleepy 
55,afghan sour kush, relaxed, sleepy, euphoric, hungry, aroused 
56,afghan widow, energetic, focused, talkative, relaxed, hungry 
57,afghani, relaxed, sleepy, euphoric, happy, tingly 
58,afgahni bullrider, focused, hungry, talkative, relaxed, happy 
59,afghani cbd, creative, relaxed, sleepy, happy, euphoric 
60,afghani krush, creative, euphoric, focused, giggly, happy 
61,afghanica, euphoric, relaxed, creative, happy, sleepy 
62,afghan skunk, euphoric, uplifted, hungry, relaxed, sleepy 
63,afghan sour kush, relaxed, sleepy, euphoric, hungry, aroused 
64,afghan widow, energetic, focused, talkative, relaxed, hungry 
65,afghani, relaxed, sleepy, euphoric, happy, tingly 
66,afgahni bullrider, focused, hungry, talkative, relaxed, happy 
67,afghani cbd, creative, relaxed, sleepy, happy, euphoric 
68,afghani krush, creative, euphoric, focused, giggly, happy 
69,afghanica, euphoric, relaxed, creative, happy, sleepy 
70,afghanimal, hungry, relaxed, aroused, focused, sleepy 
71,afgooey, relaxed, happy, sleepy, hungry, creative 
72,afgoo, relaxed, euphoric, sleepy, happy, uplifted 
73,afgooey, relaxed, happy, sleepy, hungry, creative 
74,afkansastan, euphoric, giggly, happy, uplifted, hungry 
75,afpak, relaxed, happy, hungry, euphoric, tingly 
76,african, happy, giggly, euphoric, relaxed, energetic 
77,afrodite, happy, hungry, relaxed, energetic, giggly 
78,afternoon delight, relaxed, hungry, happy, creative, focused 
79,afwreck, relaxed, euphoric, hungry, focused, happy 
80,agape, energetic, tingly, aroused, happy, sleepy 
81,agent orange, happy, uplifted, relaxed, creative, energetic 
82,agent tangie, creative, euphoric, focused, happy, uplifted 
83,air jordan og, relaxed, happy, euphoric, creative, giggly 
84,als dream, energetic, talkative ,,,
85,alaska, energetic, creative, uplifted, talkative, euphoric 
86,alaska thunder grape, creative, euphoric, focused, relaxed, tingly 
87,alaskan ice, energetic, euphoric, hungry, talkative, happy 
88,alaskan thunder fuck, happy, uplifted, euphoric, energetic, relaxed 
89,albert walker, relaxed, happy, euphoric, uplifted, focused 
90,alchemy, happy, euphoric, relaxed, hungry, talkative 
91,alf, relaxed, creative, euphoric, giggly, happy 
92,alice in wonderland, focused, euphoric, relaxed, creative, happy 
93,alien abduction, relaxed, tingly, euphoric, happy, focused 
94,alien apparition, hungry, euphoric, aroused, creative, energetic 
95,alien asshat, relaxed, giggly, uplifted, happy, euphoric 
96,alien breath, happy, relaxed, sleepy, euphoric, giggly 
97,alien bubba, relaxed, sleepy, euphoric, happy, talkative 
98,alien dawg, relaxed, sleepy, happy, hungry, euphoric 
99,alien dutchess, uplifted, happy, energetic, euphoric, talkative 
100,alien hallucination, euphoric, happy, relaxed, uplifted, creative 
101,alien inferno, happy, euphoric, creative, uplifted, talkative 
102,alien kush, relaxed, tingly, hungry, creative, happy 
103,alien og, relaxed, happy, euphoric, uplifted, creative 
104,alien reunion, euphoric, happy, relaxed, uplifted, creative 
105,alien rift, relaxed, happy, euphoric, hungry, uplifted 
106,alien rock candy, happy, relaxed, euphoric, sleepy, uplifted 
107,alien sour apple, euphoric, creative, energetic, relaxed, uplifted 
108,alien stardawg, happy, tingly, energetic, uplifted, relaxed 
109,alien technology, happy, euphoric, uplifted, creative, hungry 
110,alien walker, happy, creative, energetic, euphoric, uplifted 
111,aliens on moonshine, uplifted, happy, relaxed, focused, euphoric 
112,allen iverson og, euphoric, happy, relaxed, focused, hungry 
113,allen wrench, happy, uplifted, energetic, euphoric, focused 
114,alley cat kush, aroused, creative, energetic, euphoric, focused 
115,alien stardawg, happy, tingly, energetic, uplifted, relaxed 
116,alien technology, happy, euphoric, uplifted, creative, hungry 
117,alien walker, happy, creative, energetic, euphoric, uplifted 
118,aliens on moonshine, uplifted, happy, relaxed, focused, euphoric 
119,allen iverson og, euphoric, happy, relaxed, focused, hungry 
120,allen wrench, happy, uplifted, energetic, euphoric, focused 
121,alley cat kush, aroused, creative, energetic, euphoric, focused 
122,allkush, happy, uplifted, focused, hungry, talkative 
123,aloha, happy, uplifted, euphoric, focused, relaxed 
124,aloha grape stomper, euphoric, happy, relaxed, uplifted, giggly 
125,aloha limone, happy, relaxed, giggly, euphoric, uplifted 
126,alohaberry, happy, energetic, euphoric, creative, uplifted 
127,alpha blue, uplifted, energetic, happy, relaxed, focused 
128,alpha express, energetic, uplifted, focused, creative, happy 
129,alpha og, relaxed, euphoric, uplifted, sleepy, happy 
130,alpine blue, relaxed, sleepy, euphoric, uplifted, happy 
131,alpine star, uplifted, aroused, euphoric, creative, focused 
132,altoyd, sleepy ,,,,
133,ambrosia, relaxed, aroused, sleepy, happy, uplifted 
134,american beauty, euphoric, relaxed, sleepy, uplifted, creative 
135,american dream, euphoric, creative, happy, uplifted, energetic 
136,american kush, relaxed, happy, tingly, sleepy, euphoric 
137,american pie, euphoric, relaxed, uplifted, happy, creative 
138,americano, euphoric, relaxed, aroused, creative, focused 
139,amethyst, happy, relaxed, euphoric, giggly, hungry 
140,amethyst bud, euphoric, uplifted, creative, happy, relaxed 
141,amherst sour diesel, uplifted, euphoric, relaxed, energetic, happy 
142,amnesi k lemon, creative, euphoric, focused, uplifted, energetic 
143,amnesia, happy, uplifted, energetic, relaxed, euphoric 
144,amnesia ganja haze, creative, euphoric, happy, relaxed ,
145,amnesia haze, happy, euphoric, uplifted, relaxed, energetic 
146,amnesia og, relaxed, euphoric, happy, uplifted, focused 
147,ancient kush, aroused, creative, energetic, focused, giggly 
148,ancient og, relaxed, euphoric, sleepy, uplifted, happy 
149,anesthesia, relaxed, sleepy, happy, euphoric, uplifted 
150,angel og, sleepy, relaxed, euphoric, uplifted, happy 
151,animal blues, focused, uplifted, euphoric, talkative, relaxed 
152,animal gas, euphoric, creative, happy, relaxed, uplifted 
153,animal sherbert, aroused, energetic, euphoric, focused, giggly 
154,anonymous og, relaxed, sleepy, happy, euphoric, hungry 
155,anubis, relaxed, euphoric, uplifted, talkative, happy 
156,ape shit, happy, giggly, uplifted, relaxed, euphoric 
157,apollo 11, tingly, euphoric, uplifted, relaxed, aroused 
158,apollo 13, uplifted, relaxed, aroused, euphoric, happy 
