,strain,flavor_1,flavor_2,flavor_3
0,100 og, 1. earthy, 2. diesel, 3. pungent 
1,98 white widow, 1. diesel, 2. flowery, 3. grape 
2,1024, 1. tropical, 2. mint, 3. blueberry 
3,12 year og, 1. diesel ,,
4,13 dawgs, 1. diesel, 2. apricot, 3. citrus 
5,22, 1. diesel, 2. pine, 3. skunk 
6,24k gold, 1. orange, 2. citrus, 3. sweet 
7,3 bears og, 1. diesel, 2. sweet, 3. butter 
8,100 og, 1. earthy, 2. diesel, 3. pungent 
9,98 white widow, 1. diesel, 2. flowery, 3. grape 
10,1024, 1. tropical, 2. mint, 3. blueberry 
11,12 year og, 1. diesel ,,
12,13 dawgs, 1. diesel, 2. apricot, 3. citrus 
13,22, 1. diesel, 2. pine, 3. skunk 
14,24k gold, 1. orange, 2. citrus, 3. sweet 
15,3 bears og, 1. diesel, 2. sweet, 3. butter 
16,3 kings, 1. earthy, 2. diesel, 3. pine 
17,303 og, 1. diesel, 2. earthy, 3. woody 
18,3d cbd, 1. diesel, 2. woody, 3. earthy 
19,3x crazy, 1. earthy, 2. grape, 3. woody 
20,3rd coast panama chunk, 1. diesel, 2. pine, 3. butter 
21,501st og, 1. sweet, 2. pine, 3. pungent 
22,541 kush, 1. diesel ,,
23,5th element, 1. earthy, 2. pungent, 3. lemon 
24,707 headband, 1. earthy, 2. sweet, 3. pungent 
25,8 ball kush, 1. earthy, 2. spicy/herbal, 3. pine 
26,818 og, 1. earthy, 2. flowery, 3. pungent 
27,831 og, 1. cheese, 2. flowery, 3. chemical 
28,9 pound hammer, 1. earthy, 2. sweet, 3. citrus 
29,91 krypt, 1. diesel, 2. skunk, 3. earthy 
30,999, 1. citrus, 2. earthy, 3. pine 
31,a 10, 1. pungent, 2. skunk, 3. ammonia 
32,a dub, 1. earthy, 2. diesel, 3. sweet 
33,a train, 1. earthy, 2. spicy/herbal, 3. flowery 
34,acdc, 1. earthy, 2. woody, 3. pine 
35,ak 47, 1. earthy, 2. woody, 3. pungent 
36,ak 48, 1. flowery, 2. earthy, 3. sweet 
37,ak 49, 1. earthy, 2. pungent, 3. woody 
38,aberdeen, 1. blue cheese, 2. chemical, 3. menthol 
39,abusive og, 1. earthy, 2. pungent, 3. lavender 
40,acapulco gold, 1. earthy, 2. woody, 3. sweet 
41,ace killer og, 1. earthy, 2. diesel, 3. pine 
42,ace of spades, 1. earthy, 2. pine, 3. woody 
43,aceh, 1. earthy, 2. citrus, 3. tropical 
44,acid, 1. citrus, 2. earthy, 3. pungent 
45,acid dough, 1. citrus, 2. flowery, 3. earthy 
46,afcrack, 1. sage, 2. earthy, 3. flowery 
47,afghan big bud, 1. vanilla, 2. earthy, 3. pungent 
48,afghan cow, 1. sweet, 2. vanilla, 3. diesel 
49,afghan diesel, 1. earthy, 2. flowery, 3. grapefruit 
50,afghan hawaiian, 1. nutty, 2. pineapple, 3. sweet 
51,afghan haze, 1. earthy, 2. diesel, 3. woody 
52,afghan kush, 1. earthy, 2. woody, 3. flowery 
53,afghan skunk, 1. skunk, 2. earthy, 3. woody 
54,afghan sour kush, 1. earthy, 2. sweet, 3. diesel 
