,strain,parent_1,parent_2,parent_3,parent_4,parent_5,parent_6,parent_7
0,100 og,og kush,n,n,n,n,n,n
1,98 aloha white widow,n,n,n,n,n,n,n
2,1024,n,n,n,n,n,n,n
3,12 year og,og kush,n,n,n,n,n,n
4,13 dawgs,g13,chemdawg,n,n,n,n,n
5,22,n,n,n,n,n,n,n
6,24k gold,kosher kush,tangie,n,n,n,n,n
7,3 bears og,triangle kush,n,n,n,n,n,n
8,100 og,og kush,n,n,n,n,n,n
9,98 aloha white widow,n,n,n,n,n,n,n
10,1024,n,n,n,n,n,n,n
11,12 year og,og kush,n,n,n,n,n,n
12,13 dawgs,g13,chemdawg,n,n,n,n,n
13,22,n,n,n,n,n,n,n
14,24k gold,kosher kush,tangie,n,n,n,n,n
15,3 bears og,triangle kush,n,n,n,n,n,n
16,3 kings,headband,sour diesel,og kush,n,n,n,n
17,303 og,pre-98 bubba kush,chemdawg,n,n,n,n,n
18,3d cbd,n,n,n,n,n,n,n
19,3x crazy,og kush,bubba kush,granddaddy purple,n,n,n,n
20,3rd coast panama chunk,deep chunk,sour diesel,n,n,n,n,n
21,501st og,skywalker og,rare dankness 1,n,n,n,n,n
22,541 kush,triangle kush,n,n,n,n,n,n
23,5th element,blackberry,n,n,n,n,n,n
24,707 headband,sour diesel,og kush,master kush,n,n,n,n
25,707 truthband,true og,n,n,n,n,n,n
26,8 ball kush,afghani,n,n,n,n,n,n
27,818 og,og kush,n,n,n,n,n,n
28,831 og,og kush,sfv og,n,n,n,n,n
29,840,afgoo,super lemon haze,purple thai,god bud,n,n,n
30,9 pound hammer,jack the ripper,hells og,gooberry,n,n,n,n
31,91 krypt,chemdawg 91,n,n,n,n,n,n
32,92 og,og kush,n,n,n,n,n,n
33,999,tahoe og kush,triangle kush,biker kush,n,n,n,n
34,a-10,afghani,n,n,n,n,n,n
35,a-dub,sour diesel,sour bubble,alien dawg,chemdawg,n,n,n
36,a-train,mazar i sharif,trainwreck,n,n,n,n,n
37,acdc,cannatonic,n,n,n,n,n,n
38,ak-47,south american,mexican,thai,afghani,n,n,n
39,ak-48,ice,jock horror,n,n,n,n,n
40,ak-49,ak-47,n,n,n,n,n,n
41,aberdeen,orange velvet,jack the ripper,n,n,n,n,n
42,abusive og,og kush,n,n,n,n,n,n
43,acapulco gold,mexican,n,n,n,n,n,n
44,ace killer og,white fire og,kings kush,kosher kush,n,n,n,n
45,ace of spades,jack the ripper,black cherry soda,n,n,n,n,n
46,aceh,n,n,n,n,n,n,n
47,acid,nyc diesel,n,n,n,n,n,n
48,acid dough,congo,n,n,n,n,n,n
49,afcrack,afgoo,green crack,n,n,n,n,n
50,afghan big bud,big bud,afghani,n,n,n,n,n
51,afghan cow,ash,kali mist,ak-47,n,n,n,n
52,afghan diesel,afghani,sour diesel,n,n,n,n,n
53,afghan hawaiian,uk cheese,lavender,n,n,n,n,n
54,afghan haze,afghani,haze,n,n,n,n,n
55,afghan kush,afghani,n,n,n,n,n,n
56,afghan skunk,afghani,skunk 1,n,n,n,n,n
57,afghan sour kush,afghani,sour kush,n,n,n,n,n
58,afghan widow,afghan kush,white widow,n,n,n,n,n
59,afghani,n,n,n,n,n,n,n
60,afghani bullrider,afghani,n,n,n,n,n,n
61,afghani cbd,afghani,n,n,n,n,n,n
62,afghani krush,grape krush,afghani,n,n,n,n,n
63,afghanica,afghani,n,n,n,n,n,n
64,afghan skunk,afghani,skunk 1,n,n,n,n,n
65,afghan sour kush,afghani,sour kush,n,n,n,n,n
66,afghan widow,afghan kush,white widow,n,n,n,n,n
67,afghani,n,n,n,n,n,n,n
68,afghani bullrider,afghani,n,n,n,n,n,n
69,afghani cbd,afghani,n,n,n,n,n,n
70,afghani krush,grape krush,afghani,n,n,n,n,n
71,afghanica,afghani,n,n,n,n,n,n
72,afghanimal,afghani,animal cookies,n,n,n,n,n
73,afgooey,afghani,n,n,n,n,n,n
