,strain,medical_1,medical_2,medical_3,medical_4,medical_5
0,100 og, stress, pain, depression, insomnia, lack of appetite 
1,98 white widow, depression, muscle spasms, fatigue, pain ,
2,1024, pain, fatigue, depression, stress, inflammation 
3,12 year og, depression, pain, stress ,,
4,13 dawgs, pain, depression, stress, inflammation, fatigue 
5,22, pain, depression, fatigue, stress, muscle spasms 
6,24k gold, stress, depression, pain, fatigue, insomnia 
7,3 bears og, pain, stress, lack of appetite, muscle spasms, insomnia 
8,100 og, stress, pain, depression, insomnia, lack of appetite 
9,98 white widow, depression, muscle spasms, fatigue, pain ,
10,1024, pain, fatigue, depression, stress, inflammation 
11,12 year og, depression, pain, stress ,,
12,13 dawgs, pain, depression, stress, inflammation, fatigue 
13,22, pain, depression, fatigue, stress, muscle spasms 
14,24k gold, stress, depression, pain, fatigue, insomnia 
15,3 bears og, pain, stress, lack of appetite, muscle spasms, insomnia 
16,3 kings, stress, pain, depression, headaches, eye pressure 
17,303 og, pain, depression, insomnia, muscle spasms, headaches 
18,3d cbd, pain, stress, inflammation, headaches, depression 
19,3x crazy, stress, insomnia, pain, depression, fatigue 
20,3rd coast panama chunk, pain, depression, headaches, stress, fatigue 
21,501st og, stress, pain, depression, insomnia, headaches 
22,541 kush, pain ,,,,
23,5th element, pain, stress, lack of appetite, muscle spasms, inflammation 
24,707 headband, pain, stress, depression, nausea, muscle spasms 
25,707 truthband, pain ,,,,
26,8 ball kush, pain, depression, inflammation, stress, muscle spasms 
27,818 og, insomnia, pain, stress, nausea, inflammation 
28,831 og, insomnia, pain, stress, depression, cramps 
29,9 pound hammer, insomnia, pain, stress, depression, muscle spasms 
30,91 krypt, stress, depression, lack of appetite, insomnia, pain 
31,999, stress, spasticity, depression, seizures, muscle spasms 
32,a 10, insomnia, pain, stress, nausea, lack of appetite 
33,a dub, stress, pain, fatigue, depression, insomnia 
34,a train, depression, pain, stress, insomnia, lack of appetite 
35,acdc, pain, stress, depression, inflammation, fatigue 
36,ak 47, stress, depression, pain, fatigue, insomnia 
37,ak 48, stress, depression, pain, insomnia, nausea 
38,ak 49, fatigue, depression, headaches, stress, pain 
39,aberdeen, cramps, depression, fatigue, headaches, lack of appetite 
40,abusive og, stress, insomnia, pain, depression, headaches 
41,acapulco gold, stress, depression, fatigue, pain, headaches 
42,ace killer og, stress, pain, insomnia, depression, lack of appetite 
43,ace of spades, pain, depression, stress, fatigue, insomnia 
44,aceh, insomnia, pain, depression, stress, headaches 
45,acid, stress, depression, nausea, pain, insomnia 
46,acid dough, depression, fatigue, lack of appetite, stress, insomnia 
47,afcrack, depression, fatigue, headaches, lack of appetite, stress 
