,strain,negative_1,negative_2,negative_3,negative_4,negative_5
0,100 og, dry mouth, dizzy, dry eyes, anxious, paranoid 
1,98 white widow, dry mouth, anxious, dizzy, dry eyes, headache 
2,1024, dry mouth, dry eyes, dizzy, paranoid, anxious 
3,12 year og, anxious, dizzy, dry eyes, dry mouth, headache 
4,13 dawgs, anxious, dry eyes, headache, dry mouth ,
5,22, headache ,,,,
6,24k gold, dry mouth, dry eyes, dizzy, anxious, headache 
7,3 bears og, dry mouth, dry eyes, headache, anxious ,
8,100 og, dry mouth, dizzy, dry eyes, anxious, paranoid 
9,98 white widow, dry mouth, anxious, dizzy, dry eyes, headache 
10,1024, dry mouth, dry eyes, dizzy, paranoid, anxious 
11,12 year og, anxious, dizzy, dry eyes, dry mouth, headache 
12,13 dawgs, anxious, dry eyes, headache, dry mouth ,
13,22, headache ,,,,
14,24k gold, dry mouth, dry eyes, dizzy, anxious, headache 
15,3 bears og, dry mouth, dry eyes, headache, anxious ,
16,3 kings, dry mouth, dry eyes, dizzy, headache, paranoid 
17,303 og, dry mouth, dry eyes, dizzy, anxious ,
18,3d cbd, dry mouth, dry eyes ,,,
19,3x crazy, dry mouth, dry eyes, dizzy, anxious, paranoid 
20,501st og, dry mouth, dry eyes, headache, anxious, dizzy 
21,5th element, dry eyes, dry mouth, paranoid, dizzy, headache 
22,707 headband, dry mouth, dry eyes, anxious, dizzy, paranoid 
23,707 truthband, dry eyes ,,,,
24,8 ball kush, dry mouth, dry eyes, headache, anxious, dizzy 
25,818 og, dry mouth, dry eyes, paranoid ,,
26,831 og, dry mouth, dizzy, headache ,,
27,9 pound hammer, dry mouth, dry eyes, dizzy, anxious, headache 
28,91 krypt, dry mouth, dizzy, dry eyes ,,
29,999, anxious, dry eyes, dry mouth, paranoid, dizzy 
30,a 10, dry mouth, dry eyes, anxious, paranoid, dizzy 
31,a dub, dry mouth, dry eyes, anxious, headache ,
32,a train, dry mouth, dry eyes, paranoid, dizzy, anxious 
33,acdc, dry mouth, anxious, dry eyes, paranoid, dizzy 
34,ak 47, dry mouth, dry eyes, anxious, headache, dizzy 
35,ak 48, dry mouth, dizzy, headache, dry eyes, paranoid 
36,ak 49, anxious ,,,,
37,aberdeen, anxious, dry eyes, dry mouth ,,
38,abusive og, dry mouth, dry eyes, dizzy, anxious, headache 
39,acapulco gold, dry mouth, dry eyes, anxious, paranoid, dizzy 
40,ace killer og, dizzy, dry mouth ,,,
41,ace of spades, dry mouth, dry eyes, dizzy, anxious, headache 
42,aceh, dry mouth, dizzy, dry eyes ,,
43,acid, dry eyes, dry mouth, dizzy, anxious, headache 
44,acid dough, dry eyes, dry mouth, paranoid ,,
45,afcrack, dry mouth, anxious, dry eyes, paranoid ,
46,afghan big bud, anxious, dry mouth, dry eyes, paranoid ,
47,afghan cow, dry mouth, anxious, dizzy, dry eyes, headache 
48,afghan diesel, dry mouth, dry eyes, paranoid, dizzy, anxious 
49,afghan hawaiian, dry mouth, anxious, dizzy, paranoid ,
50,afghan haze, dry eyes, dizzy, dry mouth, headache, anxious 
51,afghan kush, dry mouth, dry eyes, dizzy, paranoid, headache 
52,afghan skunk, dry mouth, dry eyes, dizzy, headache, anxious 
53,afghan sour kush, dry mouth, dry eyes ,,,
54,afghan widow, dry mouth, dizzy, headache, dry eyes ,
55,afghani, dry mouth, dry eyes, headache, dizzy, anxious 
56,afgahni bullrider, dry mouth, paranoid, dry eyes, dizzy, headache 
57,afghani cbd, dry mouth, dry eyes, dizzy, headache ,
58,afghanica, dry mouth, dry eyes, dizzy, anxious, paranoid 
59,afghan skunk, dry mouth, dry eyes, dizzy, headache, anxious 
60,afghan sour kush, dry mouth, dry eyes ,,,
61,afghan widow, dry mouth, dizzy, headache, dry eyes ,
62,afghani, dry mouth, dry eyes, headache, dizzy, anxious 
63,afgahni bullrider, dry mouth, paranoid, dry eyes, dizzy, headache 
64,afghani cbd, dry mouth, dry eyes, dizzy, headache ,
65,afghanica, dry mouth, dry eyes, dizzy, anxious, paranoid 
66,afghanimal, dry eyes, dry mouth, anxious ,,
67,afgooey, dry mouth, dry eyes, dizzy, paranoid, headache 
68,afgoo, dry mouth, dry eyes, dizzy, anxious, paranoid 
69,afgooey, dry mouth, dry eyes, dizzy, paranoid, headache 
70,afkansastan, dry eyes, dry mouth, anxious, dizzy, paranoid 
71,afpak, dizzy ,,,,
72,african, dry mouth, dry eyes, paranoid, headache, anxious 
73,afrodite, anxious, dry mouth, dizzy, dry eyes, paranoid 
74,afternoon delight, headache, dry mouth, paranoid, dizzy, anxious 
75,afwreck, dry mouth, dry eyes, dizzy, headache, paranoid 
76,agape, anxious, headache ,,,
77,agent orange, dry mouth, dry eyes, paranoid, dizzy, anxious 
78,agent tangie, dry eyes, dry mouth, anxious ,,
79,air jordan og, dry mouth, dizzy, headache, dry eyes ,
80,alaska, dry mouth, dry eyes, anxious, headache, dizzy 
81,alaskan ice, dry mouth, headache, dry eyes, dizzy, paranoid 
82,alaskan thunder fuck, dry mouth, dry eyes, anxious, paranoid, headache 
83,albert walker, headache, dry mouth, dry eyes, dizzy, paranoid 
84,alchemy, dry eyes, dry mouth, dizzy ,,
85,alf, dry mouth ,,,,
86,alice in wonderland, dry mouth, dry eyes, headache, anxious, paranoid 
87,alien abduction, dry mouth, dry eyes, anxious, dizzy, headache 
88,alien apparition, dry mouth ,,,,
89,alien asshat, dry mouth, anxious, dizzy ,,
90,alien breath, dizzy ,,,,
91,alien bubba, dry mouth, headache, dry eyes, dizzy, anxious 
92,alien dawg, dizzy, dry eyes, headache, dry mouth, paranoid 
93,alien dutchess, dry mouth, dry eyes, anxious ,,
94,alien hallucination, dry mouth, dry eyes, paranoid, anxious, dizzy 
95,alien inferno, dry mouth, dry eyes, anxious ,,
96,alien kush, dry mouth, paranoid, dizzy, anxious, dry eyes 
97,alien og, dry mouth, dry eyes, paranoid, dizzy, headache 
98,alien reunion, dry mouth, dizzy, dry eyes, headache, paranoid 
99,alien rift, dry mouth, anxious, paranoid, dry eyes, dizzy 
100,alien rock candy, dry mouth, dry eyes, dizzy, paranoid, anxious 
101,alien sour apple, dry mouth, dry eyes ,,,
102,alien stardawg, dry mouth ,,,,
103,alien technology, dry mouth, anxious, dry eyes, headache ,
104,alien walker, dry mouth, dry eyes, anxious, dizzy, headache 
105,aliens on moonshine, dry mouth, dizzy, dry eyes, headache ,
106,allen wrench, dry mouth, anxious, dry eyes, dizzy, paranoid 
107,alien stardawg, dry mouth ,,,,
108,alien technology, dry mouth, anxious, dry eyes, headache ,
109,alien walker, dry mouth, dry eyes, anxious, dizzy, headache 
110,aliens on moonshine, dry mouth, dizzy, dry eyes, headache ,
111,allen wrench, dry mouth, anxious, dry eyes, dizzy, paranoid 
112,allkush, dry mouth, dry eyes ,,,
113,aloha, dry mouth, dry eyes, dizzy, anxious ,
114,aloha limone, dry eyes, dry mouth ,,,
115,alohaberry, dry mouth, dry eyes, paranoid ,,
116,alpha blue, dry mouth, anxious, dizzy, dry eyes, paranoid 
117,alpha express, dry mouth, anxious ,,,
118,alpha og, dry mouth, dry eyes, headache, dizzy, paranoid 
119,alpine blue, dry eyes ,,,,
120,alpine star, dry mouth, anxious, paranoid, dry eyes, headache 
121,altoyd, dizzy, headache ,,,
122,ambrosia, dry mouth, dry eyes, anxious, paranoid, dizzy 
123,american beauty, dry eyes, dry mouth ,,,
124,american dream, dry mouth, dizzy, anxious, dry eyes, headache 
125,american kush, dizzy, dry eyes, dry mouth, headache, anxious 
126,americano, dry eyes ,,,,
127,amethyst, dry mouth, dry eyes ,,,
128,amethyst bud, dry mouth, dry eyes, headache, paranoid ,
129,amherst sour diesel, dry mouth, dry eyes ,,,
130,amnesi k lemon, dizzy ,,,,
131,amnesia, dry mouth, paranoid, dizzy, dry eyes, anxious 
132,amnesia ganja haze, dry mouth ,,,,
133,amnesia haze, dry mouth, dry eyes, paranoid, dizzy, anxious 
134,amnesia og, dry mouth ,,,,
135,ancient kush, anxious, dizzy, dry eyes, dry mouth, paranoid 
136,ancient og, dry mouth, dizzy, dry eyes, paranoid ,
137,anesthesia, dry mouth, dry eyes, dizzy, paranoid, headache 
138,angel og, dry mouth, dry eyes, dizzy, anxious, headache 
139,animal blues, dry mouth ,,,,
140,animal sherbert, anxious, dizzy, dry eyes, dry mouth, paranoid 
141,anonymous og, paranoid, dry mouth, dizzy, dry eyes ,
142,anubis, anxious, dry eyes, dry mouth ,,
143,ape shit, dry mouth, dry eyes ,,,
144,apollo 11, dry mouth, dizzy, anxious, dry eyes, headache 
145,apollo 13, dizzy, dry mouth, dry eyes, paranoid, headache 
146,apollo 13 haze, anxious, dry eyes ,,,
147,apollo haze, dry eyes, dry mouth, headache ,,
148,appalachia, dry mouth, dry eyes, anxious, paranoid ,
149,apple jack, dry mouth, dry eyes, paranoid, dizzy, anxious 
150,apple kush, dry eyes, dry mouth, dizzy, headache, anxious 
151,apollo 11, dry mouth, dizzy, anxious, dry eyes, headache 
152,apollo 13, dizzy, dry mouth, dry eyes, paranoid, headache 
153,apollo 13 haze, anxious, dry eyes ,,,
154,apollo haze, dry eyes, dry mouth, headache ,,
155,appalachia, dry mouth, dry eyes, anxious, paranoid ,
156,apple jack, dry mouth, dry eyes, paranoid, dizzy, anxious 
