,strain,parent_1,parent_2
0,100 og,og kush,
1,12 year og,og kush,
2,13 dawgs,  g13 ,  chemdawg  
3,24k gold,  kosher kush ,  tangie  
4,3 bears og,triangle kush,
5,100 og,og kush,
6,12 year og,og kush,
7,13 dawgs,  g13 ,  chemdawg  
8,24k gold,  kosher kush ,  tangie  
9,3 bears og,triangle kush,
10,303 og,  pre-98 bubba kush ,  chemdawg  
11,3rd coast panama chunk,  deep chunk ,  sour diesel  
12,501st og,  skywalker og ,  rare dankness #1  
13,541 kush,triangle kush,
14,5th element,blackberry,
15,707 truthband,true og,
16,8 ball kush,afghani,
17,818 og,og kush,
18,831 og,  og kush ,  sfv og  
19,91 krypt,chemdawg 91,
20,92 og,og kush,
21,a 10,afghani,
22,a train,  mazar i sharif ,  trainwreck  
23,acdc,cannatonic,
24,ak 48,  ice ,  jock horror  
25,ak 49,ak-47,
26,aberdeen,  orange velvet ,  jack the ripper  
27,abusive og,og kush,
28,acapulco gold,mexican,
29,ace of spades,  jack the ripper ,  black cherry soda  
30,acid,nyc diesel,
31,acid dough,congo,
32,afcrack,  afgoo ,  green crack  
33,afghan big bud,  big bud ,  afghani  
34,afghan diesel,  afghani ,  sour diesel  
35,afghan hawaiian,  uk cheese ,  lavender  
36,afghan haze,  afghani ,  haze  
37,afghan kush,afghani,
38,afghan skunk,  afghani ,  skunk #1  
39,afghan sour kush,  afghani ,  sour kush  
40,afghan widow,  afghan kush ,  white widow  
41,afghani bullrider,afghani,
42,afghani cbd,afghani,
43,afghani krush,  grape krush ,  afghani  
44,afghanica,afghani,
45,afghan skunk,  afghani ,  skunk #1  
46,afghan sour kush,  afghani ,  sour kush  
47,afghan widow,  afghan kush ,  white widow  
48,afghani bullrider,afghani,
49,afghani cbd,afghani,
50,afghani krush,  grape krush ,  afghani  
51,afghanica,afghani,
52,afghanimal,  afghani ,  animal cookies  
53,afgooey,afghani,
54,afgoo,afghani,
55,afgooey,afghani,
56,afpak,afghani,
57,afrodite,  black domina ,  jack herer  
58,afwreck,  afghani ,  trainwreck  
59,agape,black cherry og,
60,agent orange,  orange velvet ,  jack the ripper  
61,agharta,colorado bubba,
62,al's dream,  albert walker ,  blue dream  
63,alaska thunder grape,  matanuska thunder fuck ,  grape ape  
64,alaskan ice,  white widow ,  haze  
65,alaskan thunder fuck,north american sativa,
66,albert walker,afghan skunk,
67,alchemy,  chemdog ,  querkle  
68,alice in wonderland,willy s wonder,
69,alien abduction,  alien og ,  alien dawg  
70,alien apparition,  alien technology ,  ghost og  
71,alien bubba,  bubba kush ,  alien kush  
72,alien dawg,chemdawg,
73,alien dutchess,  alien og ,  dutch treat haze  
74,alien hallucination,  tahoe alien ,  lsd  
75,alien inferno,  alien og ,  diablo  
76,alien kush,  lvpk ,  alien dawg  
77,alien og,  alien kush ,  tahoe og kush  
78,alien reunion,  alien dawg ,  alien og  
79,alien rift,  alien dawg ,  alien og  
80,alien rock candy,  tahoe alien ,  sour dubble  
81,alien sour apple,  alien dawg ,  sour apple  
82,alien stardawg,  alien kush ,  stardawg  
83,alien technology,afghani,
84,alien walker,  albert walker ,  tahoe alien  
85,aliens on moonshine,sour alien,
86,alion,  alien kush ,  blue dream  
87,allen wrench,  trainwreck ,  nyc diesel  
88,alley cat kush,og kush,
89,alien stardawg,  alien kush ,  stardawg  
90,alien technology,afghani,
91,alien walker,  albert walker ,  tahoe alien  
92,aliens on moonshine,sour alien,
93,alion,  alien kush ,  blue dream  
94,allen wrench,  trainwreck ,  nyc diesel  
95,alley cat kush,og kush,
96,aloha grape stomper,  grape stomper ," "" 98 aloha white widow"" "
97,alpha blue,  blue dream ,  nyc diesel  
98,alpha cow,  alpha blue ,  purple cow  
99,alpha express,  alpha blue ,  ghost train haze  
100,alpha og,og kush,
101,alpine blue,  blue mystic ,  power plant  
102,alpine star,  tahoe og kush ,  sensi star  
103,ambrosia,god bud,
104,ambrosia,god bud,
105,american beauty,plushberry,
106,american kush,  pre-98 bubba kush ,  sin city kush  
107,american pie,  power plant ,  white widow  
108,americano,  northern lights ,  skunk #1  
109,amethyst,  sage n sour ,  granddaddy purple  
110,amethyst bud,  lavender ,  afghan hawaiian  
111,amherst sour diesel,chemdog,
112,amnesia ganja haze,amnesia haze,
113,amnesia og,  amnesia ,  biker kush  
114,ancient og,  south asian indica ,  snow lotus  
115,anesthesia,  herijuana ,  afghan skunk  
116,angel og,  og kush ,  blackberry  
117,angelica,hell s og,
118,animal blues,animal cookies,
119,animal blues,animal cookies,
120,animal gas,  chemdog 91 ,  animal cookies  
121,animal mint,  animal cookies ,  thin mint gsc  
122,animal sherbert,  animal cookies ,  sherbert  
123,anubis,  somango ,  wembley  
124,apollo 11,  cinderella 99 ,  jack herer  
125,apollo 13,jack herer,
126,apollo haze,  super silver haze ,  cinderella 99  
127,appalachia,  green crack ,  tres dawg  
128,apple jack,  jack herer ,  white widow  
129,apple kush,  sour diesel ,  pure kush  
130,apollo 11,  cinderella 99 ,  jack herer  
131,apollo 13,jack herer,
132,apollo haze,  super silver haze ,  cinderella 99  
133,appalachia,  green crack ,  tres dawg  
134,apple jack,  jack herer ,  white widow  
135,apple kush,  sour diesel ,  pure kush  
136,arctic sun,  skunk no. 1 ,  white widow  
137,arcticblue,dj short blueberry,
138,argyle,  afghani ,  sensi star  
139,arjan's ultra haze #1," ""neville s haze""",  south asian sativa  
140,armagnac,  the white ,  grape kush  
141,ash,  afghan skunk ,  afghan haze  
142,aspen og,  sour cream ,  sfv og kush  
143,astral works,  harle-tsu ,  tangerine haze  
144,athabasca,  harlequin ,  jack the ripper  
145,atmosphere,  white widow ,  og kush  
146,atomic bomb,  chemdog ,  thc bomb  
147,atomic goat,  golden goat ,  chernobyl  
148,atomical haze,  haze ,  south indian indica  
149,aurora borealis,  northern lights ,  skunk no. 1  
150,aurora indica,  afghani ,  northern lights  
151,avalon,  afghani ,  blueberry  
152,ayahuasca purple,master kush,
153,aymi,cherry pie kush,
154,azure haze,  blueberry ,  super silver haze  
155,b 52,  big bud ,  skunk #1  
156,b.b. king,blackberry kush,
157,b4,  blue dream ,  chemdawg 4  
158,bc big bud,big bud,
159,bc roadkill,  deep chunk ,  skunk #1  
160,bc sweet tooth,sweet tooth,
161,bog bubble,bubble gum,
162,bakerstreet,hindu kush,
163,balmoral,skunk #1,
164,banana bread,purple kush,
165,bog bubble,bubble gum,
166,bakerstreet,hindu kush,
167,balmoral,skunk #1,
168,banana bread,purple kush,
169,banana cream og,  blue dream ,  banana og  
170,banana diesel,  banana kush ,  super sour diesel  
171,banana hammock r1,grape god,
172,banana kush,  ghost og ,  skunk haze  
173,banana mango,  banana og ,  blueberry muffin  
174,banana og,og kush,
175,banana peel,banana og,
176,banana punch #9,  banana og ,  purple punch  
177,banana split,tangie,
178,bandana,  707 headband ,  banana og  
179,bangi haze,nepalese,
180,bango,  white fire alien og ,  mango kush  
181,banjo,tangelo,
182,barbara bud,  shishkaberry ,  afghani  
183,batgirl," ""jack s cleaner""",  blueberry  
184,bay 11,appalachia,
185,bay lotus,  bay 11 ,  white lotus  
186,bay platinum cookies,  bay 11 ,  platinum gsc  
187,bazooka joe g,  bubble gum ,  face off og  
188,bear dance,pure kush,
189,beastmode 2.0,  white fire og ,  master kush  
190,beastmode og,og kush,
191,beckwourth bud,  black roses ,  lost sierra night nurse  
192,bedford glue,  gorilla glue #1 ,  highwayman  
193,belladonna,super skunk,
194,bermuda sour,  east coast sour diesel ,  triangle kush  
195,berries & crème,  grease monkey ,  shishkaberry  
196,berry bomb,blueberry,
197,berry larry,larry og,
198,berry og,  og kush ,  blueberry  
199,berry white,  blueberry ,  white widow  
200,bert's cookie dough,girl scout cookies,
201,bertberry cheesecake,uk cheese,
202,best friend og," ""hell s og""",  purple haze  
203,bianca,white widow,
204,biddy early,warlock,
205,big band,  bubble gum ,  chronic  
206,bertberry cheesecake,uk cheese,
207,best friend og," ""hell s og""",  purple haze  
208,bianca,white widow,
209,biddy early,warlock,
210,big band,  bubble gum ,  chronic  
211,big buddha cheese,  afghani ,  uk cheese  
212,big kush,og kush,
213,big mac,bc big bud,
214,big skunk korean,  big bud ,  skunk no. 1  
215,big smooth,cookies and cream,
216,big white,  the white ,  big bud  
217,big wreck,  big bud ,  trainwreck  
218,biker kush," ""hell s og""",  lucifer og  
219,biker le’blanc,  the white ," ""hell s og"" "
220,bio jesus,  bio-diesel ,  gumbo  
221,biochem,  chemdawg 4 ,  sensi star  
222,biohazard,  chemdog 91 ,  do-si-dos  
223,birds of paradise,blue heron,
224,birthday cake kush,  girl scout cookies ,  cherry pie  
225,black afghan,  black domina ,  afghan kush  
226,black betty,  east coast sour diesel ,  ak-47  
227,black bubba,  bubba kush ,  black russian  
228,black cheese,big buddha cheese,
229,black cherry pie,  blackberry kush ,  cherry pie  
230,black d.o.g.,blackberry kush,
231,black dahlia,  black cherry soda ,  querkle  
232,black diamond,  blackberry ,  diamond og  
233,black diesel,nyc diesel,
234,black haze,  colombian gold ,  purple haze  
235,black ice,  black domina ,  white widow  
236,black jack,  black domina ,  jack herer  
237,black lime special reserve,  northern lights ,  purple kush  
238,black lotus,snow lotus,
239,black magic,  buckeye purple ,  cherry sauce  
240,black mamba,  granddaddy purple ,  black domina  
241,black out,  the black ,  face off og  
242,black lime special reserve,  northern lights ,  purple kush  
243,black lotus,snow lotus,
244,black magic,  buckeye purple ,  cherry sauce  
245,black mamba,  granddaddy purple ,  black domina  
246,black out,  the black ,  face off og  
247,black raspberry,goji og,
248,black roses,  headband ,  early girl  
249,black russian,  black domina ,  white russian  
250,black triangle,triangle kush,
251,black tuna,  herijuana ," ""lamb s bread"" "
252,black velvet,  burmese kush ,  the black  
253,black widow,  south american ,  south indian sativa  
254,blackberry,  black domina ,  raspberry cough  
255,blackberry bubble,  sour bubble ,  blackberry kush  
256,blackberry chem og,  blackberry ,  chemdawg  
257,blackberry cobbler,  blackberry kush ,  trainwreck  
258,blackberry cream,  blackberry kush ,  cookies and cream  
259,blackberry diesel,  east coast sour diesel ,  plushberry  
260,blackberry dream,  kimbo kush ,  super silver haze  
261,blackberry fire,blackberry kush,
262,blackberry hashplant,  blackberry kush ,  hashplant haze  
263,blackberry haze,  blackberry ,  lime haze  
264,blackberry kush,  afghani ,  blackberry  
265,blackberry lime haze,  blackberry ,  lime haze  
266,blackberry rhino,  blackberry ,  white rhino  
267,blackberry trainwreck,  blackberry kush ,  trainwreck  
268,blackberry x blueberry,  blackberry ,  dj short blueberry  
269,blackwater,  mendocino purps ,  sfv og kush  
270,blaze,  blueberry ,  haze  
271,blissful wizard,girl scout cookies,
