category,strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,review_total,parent_1,parent_2,parent_3,parent_4,parent_5,parent_6,parent_7
hybrid,22, energetic, focused, happy, uplifted, creative , pain, depression, fatigue, stress, muscle spasms , headache ,,,,,1. diesel,2. pine,3. skunk,9.0,n,n,n,n,n,n,n
indica,999, relaxed, creative, euphoric, happy, uplifted , stress, spasticity, depression, seizures, muscle spasms , anxious, dry eyes, dry mouth, paranoid, dizzy ,1. citrus,2. earthy,3. pine,3.0,tahoe og kush,triangle kush,biker kush,n,n,n,n
sativa,1024, uplifted, energetic, happy, relaxed, focused , pain, fatigue, depression, stress, inflammation , dry mouth, dry eyes, dizzy, paranoid, anxious ,1. tropical,2. mint,3. blueberry,49.0,n,n,n,n,n,n,n
hybrid,100 og, happy, uplifted, relaxed, euphoric, sleepy , stress, pain, depression, insomnia, lack of appetite , dry mouth, dizzy, dry eyes, anxious, paranoid ,1. earthy,2. diesel,3. pungent,508.0,og kush,n,n,n,n,n,n
hybrid,12 year og, focused, creative, hungry, euphoric, aroused , depression, pain, stress ,,, anxious, dizzy, dry eyes, dry mouth, headache ,1. diesel,,,2.0,og kush,n,n,n,n,n,n
hybrid,13 dawgs, sleepy, euphoric, focused, energetic, relaxed , pain, depression, stress, inflammation, fatigue , anxious, dry eyes, headache, dry mouth ,,1. diesel,2. apricot,3. citrus,11.0,g13,chemdawg,n,n,n,n,n
hybrid,24k gold, happy, relaxed, euphoric, uplifted, creative , stress, depression, pain, fatigue, insomnia , dry mouth, dry eyes, dizzy, anxious, headache ,1. orange,2. citrus,3. sweet,219.0,kosher kush,tangie,n,n,n,n,n
indica,3 bears og, relaxed, giggly, sleepy, tingly, energetic , pain, stress, lack of appetite, muscle spasms, insomnia , dry mouth, dry eyes, headache, anxious ,,1. diesel,2. sweet,3. butter,7.0,triangle kush,n,n,n,n,n,n
hybrid,3 kings, happy, relaxed, uplifted, euphoric, energetic , stress, pain, depression, headaches, eye pressure , dry mouth, dry eyes, dizzy, headache, paranoid ,1. earthy,2. diesel,3. pine,324.0,headband,sour diesel,og kush,n,n,n,n
indica,303 og, focused, relaxed, uplifted, euphoric, sleepy , pain, depression, insomnia, muscle spasms, headaches , dry mouth, dry eyes, dizzy, anxious ,,1. diesel,2. earthy,3. woody,82.0,pre-98 bubba kush,chemdawg,n,n,n,n,n
sativa,3d cbd, relaxed, happy, uplifted, focused, talkative , pain, stress, inflammation, headaches, depression , dry mouth, dry eyes ,,,,1. diesel,2. woody,3. earthy,20.0,n,n,n,n,n,n,n
hybrid,3rd coast panama chunk, energetic, focused, happy, uplifted, talkative , pain, depression, headaches, stress, fatigue ,,,,,,1. diesel,2. pine,3. butter,,deep chunk,sour diesel,n,n,n,n,n
