,100-og,1024,12-year-og,13-dawgs,22,24k-gold,3-bears-og,3-kings,303-og,3d-cbd,3rd-coast-panama-chunk,3x-crazy,501st-og,541-kush,5th-element,707-headband,707-truthband,8-ball-kush,818-og,831-og,9-pound-hammer,91-krypt,98-white-widow,999,a-10,a-dub,a-train,aberdeen,abusive-og,acapulco-gold,acdc,ace-killer-og,ace-of-spades,aceh,acid,acid-dough,afcrack,afgahni-bullrider,afghan-big-bud,afghan-cow,afghan-diesel,afghan-hawaiian,afghan-haze,afghan-kush,afghan-skunk,afghan-sour-kush,afghan-widow,afghani,afghani-cbd,afghanica,afghanimal,afgoo,afgooey,afkansastan,afpak,african,afrodite,afternoon-delight,afwreck,agape,agent-orange,agent-tangie,air-jordan-og,ak-47,ak-48,ak-49,alaska,alaska-thunder-grape,alaskan-ice,alaskan-thunder-fuck,albert-walker,alchemy,alf,alice-in-wonderland,alien-abduction,alien-apparition,alien-asshat,alien-breath,alien-bubba,alien-dawg,alien-dutchess,alien-hallucination,alien-inferno,alien-kush,alien-og,alien-reunion,alien-rift,alien-rock-candy,alien-sour-apple,alien-stardawg,alien-technology,alien-walker,aliens-on-moonshine,allen-iverson-og,allen-wrench,allkush,aloha,aloha-grape-stomper,aloha-limone,alohaberry,alpha-blue,alpha-express,alpha-og,alpine-blue,alpine-star,altoyd,ambrosia,american-beauty,american-dream,american-kush,american-pie,americano,amethyst,amethyst-bud,amherst-sour-diesel,amnesi-k-lemon,amnesia,amnesia-haze,amnesia-og,ancient-kush,ancient-og,anesthesia,angel-og,animal-blues,animal-gas,anonymous-og,anubis,ape-shit,apollo-11,apollo-13,apollo-13-haze,appalachia,apple-jack,apple-kush,appleberry,arabian-gold,arctic-sun,arcticblue,area-51,argyle,arjans-strawberry-haze,arjans-ultra-haze-1,armageddon,armagnac,ash,asian-fantasy,aspen-og,astral-works
0,Stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Insomnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Lack of Appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,Depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,Muscle Spasms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,Fatigue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,Pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,Pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
