,kali-47,kali-china,kali-dog,kali-mist,kandahar,kandy-kush,kaptns-grand-dream,karibbean-mango,karma-bitch,karma-og,karmarado-og,kashmir-kush,katsu-bubba-kush,katsu-kush,kauai-electric,kelly-hill-gold,kens-kush,kerala-krush,kerosene,ketama,key-lime-haze,key-lime-pie,keystone-kush,khalifa-kush,khola,khufu,kid-n-cookies,kilimanjaro,kill-bill,killer-grape,killer-queen,killing-fields,kimbo-kush,king-cake,king-kong,king-kush,king-louis,king-thunder-fuck,kings-bread,kiss,kiwiskunk,kobain-kush,koloa-sunrise,kona-gold,kong,kool-aid-smile,koolato,kosher-kush,kosher-tangie,krakatoa,kraken,krishna-kush,kritikal-k,kryptonite,kuato,kubbie-kush,kuchi,kurple-fantasy,kush-cleaner,kush-hemp,kush-n-cheese,kush-rise,kushadelic,kushage,kushashima,kushberry,la-blanca,la-blanca-gold,la-cake,la-chocolat,la-confidential,la-jack,la-kookies,la-kush,la-nina,la-og,la-reina-de-africa,la-sunshine,la-ultra,la-woman,ladyburn-1974,lak-federal-reserve,lake-of-fire,lamb-s-bread,lambo-og,lamborghini,lambs-in-space,lapd,larry-bird-kush,larry-og,las-vegas-purple-kush-bx,lashkar-gah,laughing-buddha,laughing-gas,lavender,lavender-haze,lavender-jones,le-silver-royale,leagle-eagle,leda-uno,lee-roy,legalized-og,legend-of-nigeria,legend-og,legendary-lemon,lem-chem,lemon-alien-dawg,lemon-banana-sherbet,lemon-bananas,lemon-bubble,lemon-cake,lemon-cookies,lemon-crme,lemon-daddy,lemon-diesel,lemon-drop,lemon-fire,lemon-g,lemon-garlic-og,lemon-haze,lemon-ice,lemon-jack,lemon-jeffery,lemon-kush,lemon-kush-headband,lemon-larry-lavender,lemon-marmalade,lemon-meringue,lemon-og,lemon-og-haze,lemon-pie,lemon-sativa,lemon-skunk,lemon-sorbet-3,lemon-thai,lemon-thai-kush,lemon-tree,lemon-walker-og,lemon-wreck,lemon-zest,lemonberry,lemonchello-28,lemonder,lemonhead-og,lennon,leonidas,lethal-purple,lifesaver,lifter,light-of-jah,lil-sebastian,lime-green-skunk,lime-purple-mist,lime-skunk,lime-sorbet,lime-tart,limon,lions-gate,liquid-butter,little-devil,little-dragon,locktite,locomotion,lodi-dodi,logic-diesel,longbottom-leaf,loopy-fruit,lost-coast-hash-plant,lost-coast-og,lost-sierra-night-nurse,loud-dream,loud-scout,love-boat,love-potion,love-potion-9,love-triangle,lowryder,loyality,lsd,luca-brasi-x-sour-diesel,lucid-bolt,lucid-dream,lucifer-og,lucky-charms,lucy,lvpk,m-39,mac,mad-dawg,mad-scientist,madagascar,madcow,madman-og,mag-91,mag-landrace,magellan,magic-beans-og,magic-jordan,magic-melon,magnificent-mile,magnum,magnum-pi,mai-tai-cookies,majestic-12,mako-haze,malakoff,malawi,malawi-gold,mammoth,mandala-1,mandarin-cookies,mandarin-dreams,mandarin-sunset,mandarin-zkittlez,mango,mango-dream,mango-habanero,mango-kush,mango-sapphire,mango-sherbert,mango-tango,mangolicious,manitoba-poison,maple-leaf-indica,maramota-10,marcosus-marshmellow,margaret-cho-g,marionberry-kush,marionberry-pie,marleys-collie,marmalade,mars-og,martian-candy,martian-mean-green,martian-muffins,master-bubba,master-jedi,master-kush,master-og,master-skunk,master-yoda,matanuska-thunder-fuck,mataro-blue,matsu,mau-mau,maui,maui-berry,maui-bubble-gift,maui-citrus-punch,maui-haole,maui-mango-diesel,maui-wowie,mazar-i-sharif,mazar-kush,mazar-x-blueberry,mazari,mc1,mean-misty,medibud,medicine-man,medicine-woman,medihaze,medusa,mega-jackpot,megalodon,mekamika-haze,melon-gum,member-berry,memory-loss,mendo-afgoo,mendo-breath,mendo-queen,mendocino-purps,mercury-og,merlot-og,mexican,mexican-sativa,michael-phelps-og,mickey-kush,middlefork,middlefork-x-pineapple-express,midnight,mighty-glue,milf,milky-way,millennium,mimosa,mint-chocolate-chip,mission-kush,misty-kush,misty-morning,mk-ultra,mob-boss,moby-dick,mochi,molokai-frost,molokai-purpz,money-maker,monkey-bread-1,monkey-paw,monkey-thunder,monolith,monster-cookies,monster-og,montana-silvertip,moon-cookies,moon-drops,moon-walk,moonbeam,moondance,moonshine-haze,moonwalker-kush,moose-and-lobsta,more-cowbell,morning-glory,morning-star,mossimo-og,motavation,mother-of-all-cherries,mother-of-berries,mother-tongue,mothers-finest,mothers-helper,mothers-milk,motorbreath,mountain-girl,mountain-girl-x-grape-ape,mozambique-poison,mr-nice,mr-tusk,ms-universe,mt-cook,mt-hood-magic,mt-rainier,mud-bite,murkle,mystery-98,mystery-jazz,nanas-fix,narnia,nebula,nebula-ii-cbd,nectarine-lips,negra-44,neil-haze,nepalese,neptune-kush,neptune-og,nevilles-haze,nevils-wreck,new-glue,nexus-og,nice-cherry,nicole-kush,night-nurse,night-terror-og,night-train,nightfire-og,nightmare-cookies,nightmare-og,nina-limone,ninja-fruit,nl5-haze-mist,nor-cal-purps,nordle,north-american,north-american-sativa,north-indian,northern-cross,northern-lights,northern-lights--5,northern-lights-5-x-haze,northern-skunk,northernberry,ny-47,ny-cheese,nyc-diesel,nypd
0,Stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Fatigue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Inflammation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,Insomnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,Stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
