,northern-wreck,northwest-pineapple,nova,nuclear-cookies,nuggetry-og,nukeheads,nuken,nurse-jackie,obama-kush,oca-gold,ocas-cloud-9,ocd,ocean-view,odyssey,og-1-kenobi,og-18,og-cheese,og-chem,og-diesel-kush,og-glue-sniffer,og-kush,og-la-affie,og-lime-killer,og-los-angeles-kush,og-poison,og-ringo,og-shark,og-skunk,og-sour-diesel,og-strawberry,og-tonic,og-wreck,ogiesel,ogkb,ogre,ogre-berry,ogs-pearl,ol-betsy,old-lyme-connecticut-og,old-school-og,old-toby,omega,omega-dawg,one-to-one,opal-og-kush,opium,or,orange-afghani,orange-blossom,orange-bud,orange-cream,orange-creamsicle,orange-crush,orange-diesel,orange-dream,orange-durban,orange-harambe,orange-haze,orange-hill-special,orange-juice,orange-kush,orange-kush-breath,orange-romulan,orange-skunk,orange-snow-cone,orange-turbo,orange-velvet,orange-wreck,orangutang,oregon-diesel,oregon-pineapple,oregon-pinot-noir,organic-diesel,orient-express,original-glue,ortega,oteils-egyptian-kush,outer-space,outlaw,p-51,p-91,pacific-blue,pacific-frost,pagoda,pakistan-valley-kush,pakistani-chitral-kush,palm-tree-cbd,pamelina,pan-jam,panama-punch,panama-red,panda-og,pandoras-box,papas-og,paris-og,paris-xxx,patti-cake,pb-souffl,peach-cobbler,peach-crescendo-f-1,peach-puree,peaches-and-cream,peachy-mack,pearl-scout-cookies,peles-fire-og,pennywise,peppermint-cookies,perfect-purple,permafrost,pestilence,petrolia-headstash,peyote-cookies,pez,phantom-arrow,phantom-cookies,phantom-og,phatt-frutty,pheno-51,phishhead-kush,pia-collision,pie-face-og,pie-hoe,pine-cone,pine-queen-dream,pine-tar-kush,pineapple,pineapple-cookies,pineapple-diesel,pineapple-dog-shit,pineapple-express,pineapple-fields,pineapple-haze,pineapple-jack,pineapple-kush,pineapple-og,pineapple-punch,pineapple-purple-skunk,pineapple-purps,pineapple-sage,pineapple-skunk,pineapple-super-silver-haze,pineapple-thai,pineapple-trainwreck,pineapple-upside-down-cake,pineberry,pinewarp,pink-berry,pink-bubba,pink-champagne,pink-cookies,pink-death-star,pink-hawaiian,pink-kush,pink-lemonade,pink-mango,pink-panther,pink-panties,pink-pez,pink-starburst,pink-sunset,pinkman-goo,pinot-green,pitbull,placenta,platinum-bubba-kush,platinum-calyx,platinum-gsc,platinum-huckleberry-cookies,platinum-kush,platinum-og,platinum-purple-kush,platinum-sour-diesel,platinum-wreck,plushberry,pluto-kush,poison-haze,pokie,poochie-love,pop-rox,popcorn-kush,pot-of-gold,powderhound,power-kush,power-plant,pre-98-bubba-kush,predator-pink,presidential-og,prevention,primus,princess,princesss-tiara,professor-chaos,project-blue-book,puna-buddaz,puna-budder,punky-lion,punto-rojo-tierra-adentro,punxsy-punch,pura-vida,pure-afghan,pure-kush,pure-love,pure-og,pure-power-plant,purple-afghani,purple-ak-47,purple-alien-og,purple-arrow,purple-aurora,purple-berry,purple-bubba,purple-bud,purple-buddha,purple-bush,purple-candy,purple-champagne,purple-cheddar,purple-cheese,purple-chemdawg,purple-cotton-candy,purple-cow,purple-crack,purple-cream,purple-diesel,purple-dog-shit,purple-dragon,purple-dream,purple-elephant,purple-frost,purple-glue,purple-goat,purple-goo,purple-gorilla,purple-happy-rancher,purple-hashplant,purple-haze,purple-headband,purple-hindu-kush,purple-ice,purple-jack,purple-killer,purple-kush,purple-linda,purple-martian-kush,purple-maui,purple-monkey-balls,purple-mr-nice,purple-nepal,purple-og-kush,purple-panty-dropper,purple-paralysis,purple-passion,purple-people-eater,purple-pie,purple-pinecone,purple-power,purple-prevention,purple-princess,purple-punch,purple-raine,purple-rhino,purple-sage,purple-skunk,purple-sour-diesel,purple-star,purple-swish,purple-tangie,purple-tears,purple-thai,purple-tonic,purple-trainwreck,purple-urkle,purple-voodoo,purple-widow,purple-wreck,pvc-og,q3,qleaner,qrazy-train,quantum-kush,quebec-gold,queen-mother-goji,queens-panties,querkle,quin-n-tonic,qush,r-4,race-fuel-og,rainbow,rainbow-jones,raindance,ramses,rare-dankness-1,rare-darkness,raskal-og,raspberry-cough,raspberry-diesel,raspberry-kush,raw-diesel,ray-charles,rebel-berry-og,rebel-god-smoke,reclining-buddha,recon,red-cherry-berry,red-congolese,red-diesel,red-dragon,red-dwarf,red-eye-og,red-haze,red-headed-stranger,red-poison,red-velvet-pie,red-widow,redd-cross,redding-og,redwood-kush,remedy,remo-chemo,rene,rene-mist,richie-rich,riddler-og,ridge-berry,ringos-gift,rip-city-purps,ripped-bubba,rise-n-shine,road-dawg,rob-ford-kush,robert-plant,rockbud,rocket-fuel,rocklock,rockstar,rockstar-kush,rockstar-master-kush,rocky-dennis,rocky-mountain-blueberry,rocky-mountain-high,rollex-og-kush,rolls-choice,romping-goddess,romulan,romulan-grapefruit,romulan-haze,root-beer-kush,rose-bud,royal-chemdawg,royal-dwarf,royal-haze,royal-highness,royal-kush,royal-tree-sherbet,roz,rubicon,rudeboi-og,rug-burn-og,russian-assassin,russian-doll,russian-rocket-fuel,safety-meeting,sage,sage-n-sour,sage-walker,salmon-river-og,santa-maria,santa-sativa,sapphire-scout,sapphire-star,sasquatch-sap,satellite-og,satori,satsuma,saturn-og,savage-citrus-sunshine,schrom,scooby-snack,scotts-og,sfv-dog,sfv-og,sfv-og-kush
0,Stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Headaches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Insomnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Inflammation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,Lack of Appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,Depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,Inflammation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
