,frida,frisian-dew,frisian-duck,frostbite,frosted-freak,frosty,fruit-crusher,fruit-loops,fruit-punch,fruit-spirit,fruity-chronic-juice,fruity-widow,fruitylicious,fucking-incredible,full-moon,funfetti,funky-monkey,future,g-13,g-force,g13-diesel,g13-haze,g13-widow,gabriel-sherbet,galactic-jack,galactica-og,game-changer,gandalf-og,ganesh-berry,garlic-bud,gas-mask,gatekeeper-og,gelato,gelato-33,gemstone,georgia-pine,ghost-bubba,ghost-cookies,ghost-og,ghost-og-moonshine,ghost-rider-og,ghost-ship,ghost-train-haze,ghostbreath,gigabud,gilz-nilz,ginger-ale,ginger-punch,glad-max,glass-apple,glass-slipper,glue-tech,gmo-cookies,go-time,goat-head,gobbilygoo,gobbstopper,god-bud,godberry,godfather-og,godfather-purple-kush,gods-bubba,gods-green-crack,gods-treat,godzilla,godzilla-glue,gog-magog,goji-diesel,goji-og,gold-kings-thai,goldberry,golden-calyx,golden-gage,golden-goat,golden-lemon,golden-nugget,golden-panda,golden-pineapple,golden-state-banana,golden-tangie,golden-ticket,golden-tiger,goldwing,goo,gooberry,good-medicine,gorilla-biscuit,gorilla-breath,gorilla-cookies,gorilla-girl,gorilla-grips,gorilla-snacks,gorkle,government-mule,grand-doggy-purps,grand-hindu,grand-hustle,granddaddy-purple,grandmas-batch,grandmas-sugar-cookies,grandpa-larry-og,grandpas-breath,grandpas-stash,granola-funk,grape-ape,grape-calyx,grape-cookies,grape-dawg,grape-drink,grape-god,grape-inferno,grape-krush,grape-kush,grape-ox,grape-skunk,grape-soda,grape-valley-kush,grapefruit,grapefruit-diesel,grapefruit-haze,grapefruit-kush,gravity,grease-monkey,green-avenger,green-candy,green-cheese,green-crack,green-crack-cbd,green-crack-extreme,green-door-kush,green-dragon,green-dream,green-goblin,green-goddess,green-haze,green-hornet,green-kush,green-lantern,green-line-og,green-love-potion,green-magic,green-mango,green-monster,green-poison,green-python,green-queen,green-ribbon,gremlin,grilled-cheese,grimace,grimace-og,griz-kush,gsc,guard-dawg,guava-cake,guava-chem,guava-gelato,guava-kush,gucci-og,guido-kush,gumbo,gummo,gummy-bears,gupta-haze,guptilla,gutbuster,hades-haze,hades-og,haleighs-hope,hammerhead,hannibal-nectar,haole,haoma,haoma-mist,happy-rancher,hardcore-og,harle-tsu,harlequin,harlequin-gdp,harley-storm,harley-twin,harmonia,harmony,harry-potter,hash-plant,hashbar-og,hashberry,hashplant-haze,hawaii-78,hawaiian,hawaiian-cookies,hawaiian-delight,hawaiian-diesel,hawaiian-dream,hawaiian-duckfoot,hawaiian-fire,hawaiian-haze,hawaiian-mayan-gold,hawaiian-punch,hawaiian-purple-kush,hawaiian-sativa,hawaiian-skunk,hawaiian-snow,hawaiian-sunrise,hawaiian-thunder-fuck,hawaiian-trinity,haze,haze-berry,haze-heaven,haze-mist,haze-wreck,head-cheese,head-trip,headband,headbanger,heatwave,heaven-scent,heavenly-og,heavy-duty-fruity,heisenberg-kush,hell-raiser-og,hellfire-og,hells-og,hemlock,hempstar,hercules,herojuana,hibiscus-sunrise,high-noon-irish-cream,high-school-sweetheart,higher-power,highwayman,himalayan-blackberry,himalayan-gold,hindu-kush,hindu-skunk,hindu-sour,hippie-chicken,hippie-crippler,hogs-breath,hollands-hope,hollyweed,hollywood-og,holy-ghost,holy-grail-kush,honey-bananas,honey-boo-boo,honey-lemon-cheese,honey-rock,hong-kong,horace,huckleberries,huckleberry,huckleberry-cough,huckleberry-diesel,huckleberry-hound,hulkamania,humboldt,humboldt-dream,humboldt-headband,hurkle,hurricane,hustler-kush,i-95,ice,ice-cream,ice-cream-cake,ice-princess,ice-queen,ice-wreck,iced-grapefruit,iced-widow,ig-kush,ill-og,illuminati-og,in-the-pines,incredible-bulk,incredible-hulk,industrial-plant,ingrid,intergalactic,inzane-in-the-membrane,irene-kush,irish-cream,iron-triangle,island-haze,island-maui-haze,island-sweet-skunk,j-27,j1,jack-47,jack-burton,jack-diesel,jack-flash,jack-frost,jack-haze,jack-herer,jack-kush,jack-skellington,jack-smack,jack-the-ripper,jack-widow,jack-wreck,jackalope,jacked-up,jacks-cleaner,jacks-dragon-girl-7,jacks-dream,jacky-girl,jacky-white,jah-goo,jah-kush,jahwaiian,jamaican,jamaican-dream,jamaican-lion,jamaican-pearl,jamba-juice,jane-doe,jasmin,jawa-pie,jazz,jean-guy,jedi-kush,jelly-roll,jenny-kush,jesses-girl,jesus,jesus-og,jet-fuel,jilly-dawg,jillybean,jimi-hendrix,jock-horror,johnnys-tonic,jorges-diamond,josh-d-og,jr,js-famous-kush,jt15,juicy-fruit,juicy-jack,juliet,julius-caesar,jungle-juice,jungle-scout-cookies,jungle-spice,jupiter-og,k-train,k1,k2,kaboom,kahuna,kaia-kush,kalalau-kush,kalashnikova,kc-33,kc-36,kt-dawg,sour-grapes,white-shark
0,Anxious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Dry Eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Dry Mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Dry Eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Dizzy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Anxious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,Paranoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,Dry Eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,Dry Mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
