,astroboy,athabasca,atmosphere,atomic,atomic-goat,atomic-northern-lights,atomical-haze,aurora-borealis,aurora-indica,avalon,avi,avi-dekel,ayahuasca-purple,azure-haze,b-52,b-witched,b4,bakerstreet,balmoral,banana-bread,banana-candy,banana-cream-og,banana-diesel,banana-hammock-r1,banana-kush,banana-og,banana-punch-9,banana-split,bananas,bandana,bangi-haze,banjo,barbara-bud,batgirl,batman-og,bay-11,bay-dream,bazooka-joe-g,bb-king,bc-big-bud,bc-roadkill,bc-sweet-tooth,bear-dance,beast-mode-20,beast-mode-og,beckwourth-bud,bedford-glue,bedica,bediol,bell-ringer,belladonna,berkeley,bermuda-sour,berries--crme,berry-bomb,berry-larry,berry-noir,berry-og,berry-white,bertberry-cheesecake,bettie-page,bianca,biddy-early,big-band,big-bang,big-bud,big-budda-cheese,big-bull,big-holy-nina,big-kush,big-mac,big-skunk-korean,big-sky-og,big-smooth,big-sur-holy-bud,big-white,big-wreck,biker-kush,bio-diesel,bio-jesus,biochem,biohazard,birds-of-paradise,birthday-cake-kush,black-84,black-afghan,black-betty,black-bubba,black-cheese,black-cherry-cheesecake,black-cherry-og,black-cherry-pie,black-cherry-soda,black-dhalia,black-diamond,black-diesel,black-dog,black-domina,black-haze,black-ice,black-jack,black-label,black-label-kush,black-lime-special-reserve,black-magic,black-magic-kush,black-mamba,black-raspberry,black-roses,black-russian,black-triangle,black-tuna,black-velvet,black-widow,blackberry,blackberry-bubble,blackberry-chem-og,blackberry-cream,blackberry-diesel,blackberry-dream,blackberry-fire,blackberry-hashplant,blackberry-haze,blackberry-kush,blackberry-lime-haze,blackberry-pie,blackberry-rhino,blackberry-snow-cone,blackberry-trainwreck,blackberry-x-blueberry,blackwater,blaze,blissful-wizard,blizzard-bush,blob-og,blockhead,blood-orange-kush,bloodhound,bloodwalker,blowfish,blucifer,blue-afghani,blue-alien,blue-bastard,blue-bayou,blue-blood,blue-boy,blue-buddha,blue-champange,blue-cheese,blue-cinex,blue-cookies,blue-crack,blue-diamond,blue-diesel,blue-dot,blue-dragon,blue-dream,blue-dream-cbd,blue-dynamite,blue-fire,blue-frost,blue-galaxy,blue-god,blue-goo,blue-hash,blue-hawaiian,blue-haze,blue-heron,blue-iguana,blue-ivy,blue-j,blue-jay-way,blue-kiss,blue-knight,blue-kripple,blue-kush,blue-lights,blue-magic,blue-magoo,blue-monster,blue-moon-rocks,blue-moonshine,blue-mountain-fire,blue-mystic,blue-nightmare,blue-nina,blue-og,blue-og-sherbert,blue-ox,blue-power,blue-raspberry-snow-cone,blue-rhino,blue-satellite,blue-sherbert,blue-sky,blue-steel,blue-thai,blue-train,blue-treat,blue-velvet,blue-venom,blue-widow,blue-wolf,blue-wreck,blue-zkittlez,blue-zombie,blueberry,blueberry-ak,blueberry-blast,blueberry-bomb,blueberry-diesel,blueberry-dream,blueberry-essence,blueberry-hashplant,blueberry-haze,blueberry-headband,blueberry-jack,blueberry-kush,blueberry-lambsbread,blueberry-muffins,blueberry-og,blueberry-pancakes,blueberry-pie,blueberry-silvertip,blueberry-skunk,blueberry-space-cake,blueberry-triple-og,blueberry-yum-yum,blues,bluniverse,blurple,blush,bob-saget,bodega-bubblegum,bog-bubble,bogart,boggle-gum,bona-dea,booger,boombaye,bootlegger,bordello,boss-hogg,boss-og,boysenberry,brains-damage,brainstorm-haze,brainwreck,brand-x,brandywine,brazil-amazonia,brian-berry-cough,bright-fire,bright-moments,broke-diesel,bronze-whaler,brooklyn-mango,bruce-banner,bruce-banner-3,bsc,bubba-berry,bubba-doja,bubba-fresh,bubba-kush,bubba-og,bubba-tom-hayes,bubba-x-skunk,bubbas-gift,bubble-bomb,bubble-cheese,bubble-gum,bubbleberry,bubblegum-kush,bubblegun,bubblicious,buckeye-purple,buddha-haze,buddha-tahoe,buddhas-hand,buddhas-sister,buddhas-tooth,buffalo-bill,bugatti-og,burkle,burmese-kush,burnt-cookies,butter-og,butterscotch,c13-haze,c3po,c4,cabbage-patch,cackleberry,cactus,cactus-cooler,cadillac-cookies,cadillac-purple,cali-dragon,cali-gold,cali-jack,cali-kush,california-grapefruit,california-hash-plant,california-love-og,california-orange,california-sour,cambodian,cambodian-haze,candy-apple,candy-cane,candy-jack,candyland,canna-tsu,cannadential,cannalope-haze,cannalope-kush,cannasutra,cannatonic,capers,capleton,captain-america-og,captains-cake,caramel-candy-kush,caramel-kona-coffee-cookies,caramel-kona-coffee-kush,caramelicious,caramella,caramelo,carl-sagan,carmel-cough,carnival,carpet-tape,cascadia-kush,casey-jones,cashus-clay,casper-og,cat-piss,cataract-kush,catfish,cbd-blue-shark,cbd-critical-cure,cbd-critical-mass,cbd-kush,cbd-lilly,cbd-og,cbd-ox,cbd-shark,cello-sweet-og,central-american,cerebro-haze,chairman-chem-sou,champagne-diesel,champagne-kush,charlie-sheen,charlottes-web,cheese,cheese-candy,cheeseburger,cheesewreck,chem-beyond-diesel-cbd,chem-crush,chem-dog,chem-jack,chem-jong-ill,chr-super-og,csg
0,Dry Eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anxious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Dry Mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Dizzy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Paranoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Dry Mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,Dry Eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Anxious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,Dizzy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
