,0
0,atomic-bomb
1,aymi
2,bh
3,bad-azz-kush
4,bh
5,bad-azz-kush
6,banana-mango
7,bay-lotus
8,bay-platinum-cookies
9,best-friend-og
10,big-bomb
11,best-friend-og
12,big-bomb
13,big-tooth
14,black-lotus
15,black-lotus
16,blackberry-cobbler
17,blessings-og
18,blue-tara
19,blue-tara
20,blue-trane
21,blueberry-bomb
22,blueberry-bomb
23,bogglegum
24,brian-berry-black-currant
25,brian-berry-citrus-blend
26,brian-berry-honey-lemon
27,bubba-cheese-auto
28,bubba-hash
29,bubba-kush-20
30,buzz-bomb
31,cbd-lilly
32,caboose
33,calyx-og
34,candyland
35,candyland
36,cheese-candy
37,chem-berry-diesel
38,chem-kesey
