,0
0,atomic-bomb
1,aymi
2,bh
3,bad-azz-kush
4,bh
5,bad-azz-kush
6,banana-mango
7,banana-punch-9
8,bay-lotus
9,bay-platinum-cookies
10,berries--crme
11,berts-cookie-dough
12,best-friend-og
13,big-bomb
14,best-friend-og
15,big-bomb
16,big-tooth
17,bingo-pajamas
18,black-lotus
19,black-lotus
20,blackberry-cobbler
21,blessings-og
22,blue-persuasion
23,blue-tara
24,blue-tara
25,blue-trane
26,blueberry-bomb
27,blueberry-bomb
28,blueberry-hashplant
29,bog-blue-kush
30,bog-blue-kush
31,bogglegum
32,bonkers
33,boombaye
34,bootylicious
35,brian-berry-black-currant
36,brian-berry-citrus-blend
37,brian-berry-honey-lemon
38,bubba-cheese-auto
39,bubba-fresh
40,bubba-hash
41,bubba-kush-20
42,bubbas-bitch
43,bubbas-bitch
44,buzz-bomb
45,c3
46,cbd-lilly
47,caboose
48,calyx-og
49,candyland
50,candyland
51,canna-wreck
52,caramel-cake
53,caramel-kona-coffee-cookies
54,cheese-candy
55,chem-berry-diesel
56,chem-beyond-diesel-cbd
57,chem-jong-ill
58,chem-kesey
