,0
0,savants-grail
1,secret-garden-og
2,sergerbloom-haze
3,shamans-dream
4,siddharthas-dream
5,silver-cindy
6,slice-of-heaven
7,slurpie
8,smooth-operator
9,solos-stash
10,soraya
11,sorbet-4
12,solos-stash
13,soraya
14,sorbet-4
15,sorbet-dreams
16,sorbet-stash
17,sour-kosher
18,sour-lemons
19,sour-sorbet
20,sour-sorbet
21,south-asian-sativa
22,south-indian-indica
23,space-poison
24,spiked-punch
25,spumoni
26,stashsquatch
27,stoopid-fruits
28,strange-brew
29,strawberries--cream
30,strawberry-lemonade
31,strawberry-sorbet
32,sugar-breath
33,sugar-calyx
34,sugar-calyx
35,sunlight-skunk
36,sunset-fire
37,super-g
38,super-silver-bullet
39,super-silver-hash-plant
40,super-silver-lights
41,sweet-pure-cbd
42,swiss-sativa
43,tachllta-till
44,tahoe-frostbite
45,tahoe-hydro-og
46,tahoe-frostbite
47,tahoe-hydro-og
48,tangenesia
49,tarmonster
50,the-bling
51,the-boss
52,the-cbg-blend
53,the-forbidden-candy
54,the-fork
55,the-forbidden-candy
56,the-fork
57,the-void
58,thelonious-skunk
59,throwback-kush
60,tonics-web
61,trewbacca
62,triple-scoop
63,trophy-wife
64,true-love
65,truffula-tree
66,velvet-krush
67,velvet-purps
68,vietnamese-bubba
69,vixen
70,whipped-cherries
71,white-fire-alien-og
72,white-master
73,white-master
74,white-ryder
75,white-strawberry-skunk
76,willie-berrie
77,willie-cheesie
78,willy-gs-lebanese
79,x-file
80,x18-pure-pakistani
81,x18-pure-pakistani
82,yolo-berry
83,zardde-gold
84,zeitgeist
85,hai-fantasy
86,hai-fantasy
87,hai-fantasy
88,hai-fantasy
89,alenuihaha
