,0
0,northwest-pineapple
1,oca-gold
2,og-lime-killer
3,og-purple-fire-thai
4,og-strawberry-star-killer
5,ogkz
6,ol-betsy
7,old-dirty-biker
8,old-mother-sativa
9,ol-betsy
10,old-dirty-biker
11,old-mother-sativa
12,orange-afghani
13,orange-bud
14,orange-fanta
15,orange-harambe
16,orange-poison
17,orange-romulan
18,ozma
19,pb-souffl
20,ptsd
21,ozma
22,pb-souffl
23,ptsd
24,pacific-frost
25,pagoda
26,panzer-kush
27,papas-og
28,patti-cake
29,peach-puree
30,peles-fire-og
31,perfect-purple
32,pestilence
33,peyton-manning
34,phishhead-kush
35,pineapple-calyx
36,pineapple-calyx
37,pineapple-calyx
38,pineapple-calyx
39,pineapple-sage-0c9f3c369b6a422f94ef911b8ba67373
40,pineberry
41,pinkman-goo
42,pirate-radio
43,platinum-calyx
44,platinum-calyx
45,plum-dawg-millionaire
46,power-purps
47,powernap
48,prayer-tower
49,prismatic-jack
50,project-blue-book
51,punto-rojo-tierra-adentro
52,purple-alien-og
53,purple-berry-skunk
54,purple-alien-og
55,purple-berry-skunk
56,purple-cow
57,purple-goat
58,purple-moss
59,purple-pantera
60,purple-pantera
61,purple-tide
62,quad-dawg
63,querkle
64,quiver-killer-kush
65,r-4
66,rks
67,rafael
68,rainbow-jones
69,raspberry-tart
70,raspberry-tart
71,rebel-tangie-kandy
72,red-rhino
73,redding-og
74,revival
75,rigger-kush
76,rip-city-purps
77,river-song
78,royal-salute
79,royal-tree-sherbet
80,russian-roulette
81,sfv-og-kush
82,samoa-kush
83,sapphire-cherries
84,satsuma
85,satsuma
