,0
0,seattle-summer
1,secret-garden-og
2,sergerbloom-haze
3,shamans-dream
4,siddharthas-dream
5,silver-calyx
6,silver-cindy
7,sinai
8,six-shooter
9,slice-of-heaven
10,slurpie
11,snow-goddess
12,solos-stash
13,soraya
14,sorbet-4
15,solos-stash
16,soraya
17,sorbet-4
18,sorbet-dreams
19,sorbet-stash
20,sorbetto
21,sour-blueberry
22,sour-kosher
23,sour-lemons
24,sour-sorbet
25,sour-sorbet
26,sour-space-candy
27,south-asian-sativa
28,south-indian-indica
29,space-poison
30,spicy-disco
31,spliffs-strawberry
32,spumoni
33,spyder-mon
34,stardawg-91
35,stardawg-91
36,stashsquatch
37,stoopid-fruits
38,strange-brew
39,strawberries--cream
40,strawberry-alien-kush
41,strawberry-durban-diesel
42,strawberry-lemonade
43,strawberry-snow-cone
44,strawberry-sorbet
45,sugar-breath
46,sugar-calyx
47,sugar-pine
48,sugar-calyx
49,sugar-pine
50,sumo-og-kush
51,sunlight-skunk
52,sunset-fire
53,super-silver-bullet
54,super-silver-hash-plant
55,super-silver-lights
56,suver-haze
57,sweet-hawaiian-tangie-banana
58,sweet-pebbles
59,sweet-valley-kush
60,swiss-sativa
61,tachllta-till
62,tahoe-hydro-og
63,tahoe-hydro-og
64,tangenesia
65,tarmonster
66,the-big-dirty
67,the-bling
68,the-blintz
69,the-boss
70,the-cbg-blend
71,the-forbidden-candy
72,the-fork
73,the-gift
74,the-guice
75,the-forbidden-candy
76,the-fork
77,the-gift
78,the-guice
79,the-lime
80,the-original-lemonnade
81,the-void
82,the-wills
83,thelonious-skunk
84,tina
85,tonics-web
86,trewbacca
87,triple-scoop
88,tropicana-punch
89,true-love
90,truffula-tree
91,truth-serum
92,vanilla-frosting
93,vanilluna
94,velvet-krush
95,velvet-purps
96,vixen
97,wembley
98,wembley
99,whipped-cherries
100,white-bastard
101,white-fire-alien-og
102,white-master
103,white-moonshine
104,white-master
105,white-moonshine
106,white-ryder
107,white-smurf
108,white-strawberry-skunk
109,white-strawberry-skunk
110,willie-berrie
111,willie-cheesie
112,willy-gs-lebanese
113,wish-mountain
114,x18-pure-pakistani
115,xanadu
116,x18-pure-pakistani
117,xanadu
118,yem-og
119,zardde-gold
120,zeitgeist
121,zoom-pie
122,hai-fantasy
123,hai-fantasy
124,hai-fantasy
125,hai-fantasy
126,alenuihaha
