State,Legal Status,Medicinal,Decriminalized
Alabama,Fully Illegal,No,No
Alaska,Fully Legal,Yes,Yes
Arizona,Mixed,Yes,No
Arkansas,Mixed,Yes,No
California,Fully Legal,Yes,Yes
Colorado,Fully Legal,Yes,Yes
Connecticut,Mixed,Yes,Reduced
Delaware,Mixed,Yes,Reduced
District of Columbia,Fully Legal,Yes,Yes
Florida,Mixed,Yes,No
Georgia,Mixed,CBD Oil,No
Hawaii,Mixed,Yes,No
Idaho,Fully Illegal,No,No
Illinois,Mixed,Yes,Reduced
Indiana,Mixed,CBD Oil,No
Iowa,Mixed,CBD Oil,No
Kansas,Fully Illegal,No,No
Kentucky,Fully Illegal,No,No
Louisiana,Mixed,Yes,No
Maine,Fully Legal,Yes,Yes
Maryland,Mixed,Yes,Reduced
Massachusetts,Fully Legal,Yes,Yes
Michigan,Fully Legal,Yes,Yes
Minnesota,Mixed,Yes,Reduced
Mississippi,Fully Illegal,No,Reduced
Missouri,Mixed,Yes,Reduced
Montana,Mixed,Yes,No
Nebraska,Fully Illegal,No,Reduced
Nevada,Fully Legal,Yes,Yes
New Hampshire,Mixed,Yes,Reduced
New Jersey,Mixed,Yes,No
New Mexico,Mixed,Yes,Reduced
New York,Mixed,Yes,Reduced
North Carolina,Fully Illegal,No,Reduced
North Dakota,Mixed,Yes,Reduced
Ohio,Mixed,Yes,Reduced
Oklahoma,Mixed,Yes,No
Oregon,Fully Legal,Yes,Yes
Pennsylvania,Mixed,Yes,No
Rhode Island,Mixed,Yes,Reduced
South Carolina,Fully Illegal,No,No
South Dakota,Fully Illegal,No,No
Tennessee,Fully Illegal,No,No
Texas,Mixed,CBD Oil,No
Utah,Mixed,Yes,No
Vermont,Fully Legal,Yes,Yes
Virginia,Mixed,CBD Oil,No
Washington,Fully Legal,Yes,Yes
West Virginia,Mixed,Yes,No
Wisconsin,Fully Illegal,No,No
Wyoming,Fully Illegal,No,No
