,strain,review_total
0,100 og,508.0
1,98 white widow,10.0
2,1024,49.0
3,12 year og,2.0
4,13 dawgs,11.0
5,22,9.0
6,24k gold,219.0
7,3 bears og,7.0
8,100 og,508.0
9,98 white widow,10.0
10,1024,49.0
11,12 year og,2.0
12,13 dawgs,11.0
13,22,9.0
14,24k gold,219.0
15,3 bears og,7.0
16,3 kings,324.0
17,303 og,82.0
18,3d cbd,20.0
19,3x crazy,132.0
20,3rd coast panama chunk,
21,501st og,106.0
22,541 kush,1.0
23,5th element,55.0
24,707 headband,372.0
25,707 truthband,1.0
26,8 ball kush,57.0
27,818 og,31.0
28,831 og,8.0
29,840,
30,9 pound hammer,730.0
31,91 krypt,13.0
32,92 og,1.0
33,999,3.0
34,a 10,163.0
35,a dub,64.0
36,a train,79.0
37,acdc,719.0
38,ak 47,2698.0
39,ak 48,192.0
40,ak 49,5.0
41,aberdeen,8.0
42,abusive og,148.0
43,acapulco gold,598.0
44,ace killer og,38.0
45,ace of spades,321.0
46,aceh,38.0
47,acid,34.0
48,acid dough,7.0
49,afcrack,11.0
50,afghan big bud,26.0
51,afghan cow,9.0
52,afghan diesel,43.0
53,afghan hawaiian,12.0
54,afghan haze,57.0
55,afghan kush,1132.0
56,afghan skunk,55.0
57,afghan sour kush,17.0
58,afghan widow,9.0
59,afghani,528.0
60,afgahni bullrider,111.0
61,afghani cbd,50.0
62,afghani krush,1.0
63,afghanica,
64,afghan skunk,55.0
65,afghan sour kush,17.0
66,afghan widow,9.0
67,afghani,528.0
68,afgahni bullrider,111.0
69,afghani cbd,50.0
70,afghani krush,1.0
71,afghanica,
72,afghanimal,
73,afgooey,357.0
74,afgoo,622.0
75,afgooey,357.0
76,afkansastan,5.0
77,afpak,7.0
78,african,39.0
79,afrikaner,2.0
80,afrodite,4.0
81,afternoon delight,26.0
82,afwreck,120.0
83,agape,2.0
84,agent orange,1090.0
85,agent tangie,17.0
86,agharta,
87,air jordan og,
88,als dream,
89,alaska,70.0
90,alaska thunder grape,3.0
91,alaskan ice,84.0
92,alaskan thunder fuck,1920.0
93,albert walker,69.0
94,alchemy,12.0
95,alf,
96,alice in wonderland,107.0
97,alien abduction,16.0
98,alien apparition,
99,alien asshat,37.0
100,alien breath,7.0
101,alien bubba,81.0
102,alien dawg,205.0
103,alien dutchess,37.0
104,alien hallucination,42.0
105,alien inferno,22.0
106,alien kush,130.0
107,alien og,932.0
108,alien reunion,
109,alien rift,41.0
110,alien rock candy,181.0
111,alien sour apple,21.0
112,alien stardawg,9.0
113,alien technology,14.0
114,alien walker,161.0
115,aliens on moonshine,28.0
116,alion,1.0
117,allen iverson og,2.0
118,allen wrench,175.0
119,alley cat kush,1.0
120,alien stardawg,9.0
121,alien technology,14.0
122,alien walker,161.0
123,aliens on moonshine,28.0
124,alion,1.0
125,allen iverson og,2.0
126,allen wrench,175.0
127,alley cat kush,1.0
128,allkush,6.0
129,aloha,46.0
130,aloha grape stomper,3.0
131,aloha limone,12.0
132,alohaberry,27.0
133,alpha blue,105.0
134,alpha cow,
135,alpha express,6.0
136,alpha og,46.0
137,alpine blue,9.0
138,alpine star,23.0
139,altoyd,1.0
140,ambrosia,85.0
141,ambrosia,
142,american beauty,
143,american dream,17.0
144,american kush,
145,american pie,5.0
146,americano,
147,amethyst,
148,amethyst bud,22.0
149,amherst sour diesel,5.0
150,amnesi k lemon,5.0
151,amnesia,652.0
152,amnesia ganja haze,4.0
153,amnesia haze,1345.0
154,amnesia og,7.0
155,ancient kush,
156,ancient og,78.0
157,anesthesia,48.0
158,angel og,24.0
159,angelica,
160,animal blues,9.0
161,animal blues,
162,animal gas,4.0
163,animal mint,4.0
164,animal sherbert,1.0
165,anonymous og,13.0
166,anubis,7.0
167,ape shit,7.0
168,apollo 11,67.0
169,apollo 13,147.0
170,apollo 13 haze,1.0
171,apollo haze,4.0
172,appalachia,25.0
173,appalachian power,6.0
174,apple jack,69.0
175,apple kush,45.0
176,apollo 11,67.0
177,apollo 13,147.0
178,apollo 13 haze,1.0
179,apollo haze,4.0
180,appalachia,25.0
181,appalachian power,6.0
182,apple jack,69.0
183,apple kush,45.0
184,appleberry,11.0
185,apricot jelly,
186,arabian gold,11.0
187,arctic sun,
188,arcticblue,21.0
189,area 51,41.0
190,argvana heat,
191,argyle,29.0
192,arjans strawberry haze,115.0
193,arjans ultra haze 1,13.0
194,armageddon,43.0
195,armagnac,
196,ash,
197,asian fantasy,52.0
198,aspen og,8.0
199,astral works,3.0
200,astroboy,30.0
201,athabasca,5.0
202,atmosphere,18.0
203,atomic,9.0
204,atomic bomb,
205,atomic goat,
206,atomic northern lights,108.0
207,atomical haze,24.0
208,aurora borealis,35.0
209,aurora indica,95.0
210,avalon,
211,avi,6.0
212,avi dekel,42.0
213,ayahuasca purple,45.0
214,aymi,
215,azure haze,
216,b 52,49.0
217,b witched,14.0
218,b witched,14.0
219,bb king,16.0
220,b4,16.0
221,bc big bud,74.0
222,bc roadkill,31.0
223,bc sweet tooth,
224,bh,
225,bog bubble,
226,bsc,49.0
227,bad azz kush,2.0
228,bakerstreet,25.0
229,balmoral,25.0
230,banana bread,9.0
231,banana candy,25.0
232,bh,
233,bog bubble,
234,bsc,49.0
235,bad azz kush,2.0
236,bakerstreet,25.0
237,balmoral,25.0
238,banana bread,9.0
239,banana candy,25.0
240,banana cream og,22.0
241,banana diesel,81.0
242,banana hammock r1,18.0
243,banana kush,995.0
244,banana mango,
245,banana og,431.0
246,banana peel,
247,banana punch 9,1.0
248,banana split,58.0
249,bananas,28.0
250,bandana,
251,bangi haze,4.0
252,bango,6.0
253,banjo,19.0
254,barbara bud,37.0
255,batgirl,
256,batman og,15.0
257,bay 11,100.0
258,bay dream,100.0
259,bay lotus,
260,bay platinum cookies,
261,bazooka joe g,2.0
262,bear dance,31.0
263,beast mode 20,18.0
264,beast mode og,38.0
265,beckwourth bud,1.0
266,bedford glue,5.0
267,bedica,16.0
268,bediol,14.0
269,bell ringer,6.0
270,belladonna,28.0
271,berkeley,21.0
272,bermuda sour,
273,berries  crme,3.0
274,berry bomb,63.0
275,berry larry,6.0
276,berry noir,
277,berry og,64.0
278,berry white,1039.0
279,berts cookie dough,2.0
280,bertberry cheesecake,13.0
281,best friend og,
282,bettie page,36.0
283,bianca,8.0
284,biddy early,
285,big band,10.0
286,big bang,75.0
287,big bomb,2.0
288,bertberry cheesecake,13.0
289,best friend og,
290,bettie page,36.0
291,bianca,8.0
292,biddy early,
293,big band,10.0
294,big bang,75.0
295,big bomb,2.0
296,big bud,303.0
297,big budda cheese,268.0
298,big bull,3.0
299,big holy nina,
300,big kush,12.0
301,big mac,3.0
302,big skunk korean,3.0
303,big sky og,18.0
304,big smooth,47.0
305,big sur holy bud,30.0
306,big tooth,
307,big white,25.0
308,big wreck,
309,biker kush,14.0
310,biker leblanc,
311,bingo pajamas,1.0
312,bio diesel,217.0
313,bio jesus,147.0
314,biochem,35.0
315,biohazard,6.0
316,birds eye,5.0
317,birds of paradise,10.0
318,birthday cake kush,298.0
319,black 84,
320,black afghan,36.0
321,black betty,82.0
322,black bubba,27.0
323,black cheese,
324,black cherry cheesecake,64.0
325,black cherry og,86.0
326,black cherry pie,24.0
327,black cherry soda,361.0
328,black dog,33.0
329,black dhalia,50.0
330,black diamond,325.0
331,black diesel,69.0
332,black domina,291.0
333,black haze,42.0
334,black ice,71.0
335,black jack,383.0
336,black label,3.0
337,black label kush,
338,black lime special reserve,118.0
339,black lotus,4.0
340,black magic,2.0
341,black magic kush,16.0
342,black mamba,175.0
343,black out,2.0
344,black label,3.0
345,black label kush,
346,black lime special reserve,118.0
347,black lotus,4.0
348,black magic,2.0
349,black magic kush,16.0
350,black mamba,175.0
351,black out,2.0
352,black raspberry,9.0
353,black roses,9.0
354,black russian,76.0
355,black triangle,7.0
356,black tuna,170.0
357,black velvet,22.0
358,black widow,308.0
359,blackberry,549.0
360,blackberry bubble,
361,blackberry chem og,18.0
362,blackberry cobbler,
363,blackberry cream,36.0
364,blackberry diesel,18.0
365,blackberry dream,17.0
366,blackberry fire,18.0
367,blackberry hashplant,27.0
368,blackberry haze,28.0
369,blackberry kush,1810.0
370,blackberry lime haze,32.0
371,blackberry pie,14.0
372,blackberry rhino,30.0
373,blackberry snow cone,4.0
374,blackberry trainwreck,27.0
375,blackberry x blueberry,32.0
376,blackwater,542.0
377,blaze,14.0
378,blessings og,
379,bleugenius,1.0
380,blissful wizard,85.0
381,blizzard bush,1.0
382,blob og,12.0
383,blockhead,72.0
384,bloos kloos,20.0
385,blood orange kush,25.0
386,bloodhound,17.0
387,bloodwalker,11.0
388,blowfish,38.0
389,blucifer,16.0
390,blue afghani,45.0
391,blue alien,74.0
392,blue bastard,30.0
393,blue bayou,6.0
394,blue blood,22.0
395,blue boy,53.0
396,blue buddha,8.0
397,blue champange,64.0
398,blue cheese,2492.0
399,blue cinex,12.0
400,blue bastard,30.0
401,blue bayou,6.0
402,blue blood,22.0
403,blue boy,53.0
404,blue buddha,8.0
405,blue champange,64.0
406,blue cheese,2492.0
407,blue cinex,12.0
408,blue cookies,458.0
409,blue crack,148.0
410,blue diamond,130.0
411,blue diesel,561.0
412,blue dot,47.0
413,blue dragon,240.0
414,blue dream,12706.0
415,blue dream cbd,7.0
416,blue dynamite,52.0
417,blue fire,4.0
418,blue frost,123.0
419,blue galaxy,10.0
420,blue god,147.0
421,blue goo,113.0
422,blue hash,50.0
423,blue hawaiian,175.0
424,blue haze,257.0
425,blue heron,13.0
426,blue iguana,9.0
427,blue ivy,
428,blue j,3.0
429,blue jay way,7.0
430,blue kiss,
431,blue knight,97.0
432,blue kripple,
433,blue kush,99.0
434,blue lights,65.0
435,blue magic,40.0
436,blue magoo,369.0
437,blue monster,24.0
